"","Species","L_VD","GCL","SD","T_VD","VGI","SV","CV","TV","RV","OV","WD","SLA","LDMC","Th","DH","VA","Th_LC","Th_LE","Th_PM","Th_SM","Th_UC","Th_UE","CNR","Hmax","a","b","c","K","r","p","rec","SSI"
"1","AAN",0.00938731309959292,12.6678266666667,0.000540637333333333,0.000110556542637639,2.30793444634881,-1.27839117908785,-4.36021365258868,-3.61621116720762,-1.44973014333449,-5.97223829071461,1.45549811875,89.1729876164,392.295648452,0.26529333336,54.9701681329539,2086.26823055556,-4.02716038078946,0.0325365509063539,-0.618378966674315,-0.291885913881147,-3.67791335185067,-1.75295237241834,28.40869565,37,-2.82414826917813,-0.492239331261959,0.0266641531761976,2.9624882704126,24.1371946800457,0.019444421250474,1.32077443835047,0.732845475
"2","ACL",0.0105519360355943,15.76156,0.000371298666666667,2.88835274255222e-05,1.43452977310683,0.0495288795224409,-4.7159762102845,-2.95266840158108,-1.86850323782617,-6.90675477864855,2.000279288125,145.28256707,489.163015292,0.15611999992,77.2833719615157,4026.71787666667,-4.22640507323114,0.0346109546849215,-0.296706802935153,-0.220293749355699,-3.80636844485809,-2.80057150777896,19.15267176,15,-1.75350747441794,-0.445314432761835,0.0252575306869843,2.74369415547994,14.5692969892673,0.0212588859700729,0.869238589801442,0.243420319
"3","AFR",0.00874613845602274,19.7226830500333,0.000396885666666667,9.69277181017871e-05,1.31694704196158,0.55748015463005,-4.20555525636613,-3.80074889218365,-2.28827030364589,-6.90675477864855,1.3363350681,189.283922708,309.416181352,0.1927733332,32.5170068575648,785.167760333333,-3.87879332366298,0.0459234887639279,-1.03154983717227,0.262353146531586,-3.71539822210982,-2.41221827253669,20.67621777,27,-2.83126219414283,-0.488330726558713,0.0280650081774695,3.95795432670746,17.8006274538071,0.0190367527745348,4.2568475765524,0.282955305
"4","ASY",0.00824146324793187,24.7204,0.000206450666666667,7.46391462683393e-05,1.33909942291089,0.418582216324089,-5.45997710790895,-4.34816845543232,-1.89597451914968,-6.90675477864855,1.602380041,198.446093956,283.866021773333,0.16864000004,35.8025243482326,942.32962,-4.26060090940888,0.0423631996724711,-0.85580816979545,0.26692100486793,-4.13458078980882,-2.69239376381126,14.03398927,12,-2.46508705647448,-0.471829988979523,0.0255657860946378,4.13420645237983,11.7842293931386,0.0218105367885894,3.06222245060675,0
"5","BBR",0.00616722062949704,20.9272026208667,0.000182181866666667,7.1004372887714e-05,1.42783483735605,0.146721973772004,-4.07639084209381,-3.54442760223994,-1.93064016117507,-6.37189200284255,1.4610955676,100.4332100252,324.436634424,0.3118266666,51.517785532673,1846.50788572947,-4.03774179575121,0.0470944928570177,-0.771166238703836,0.0874712723839025,-3.81872780888588,-2.54746344839731,28.79591837,15,-2.76305902276309,-0.480842845510617,0.0242303019762854,3.84807839113172,25.5426404481095,0.019395856706879,2.55543092549965,0.982417017
"6","BPA",0.00821454581698021,18.5038,0.000189016,9.10514120776422e-05,1.97304429106067,-1.15541925736857,-4.11681475071693,-3.12294119256846,-1.24391281727184,-4.86502801567159,1.916423858375,84.341479013,380.648793948,0.26466666664,50.9864875375869,1725.32200333333,-4.58190147503238,0.0264639366998332,-0.889397621152163,0.369969527891561,-4.19786327854678,-2.6536381411262,25.97794118,35.5,-2.64234124190797,-0.47106886191465,0.0238321625858626,3.99188714583849,14.960166957685,0.0194604311482634,1.03487537365617,0
"7","CSQ",0.00894345432032841,25.5264933333333,0.000167784,9.70569420085447e-05,1.61016353298694,-0.307198829777854,-4.97106635119264,-3.28197343544806,-1.5043254929779,-3.82884069847826,1.85534089057143,68.9808791185,412.097684285,0.32731666665,54.9132766437763,2123.75479666667,-4.46897814456488,0.0411411662930288,-1.03064177700886,0.335310179168124,-4.14982050886304,-2.36816376761439,34.64552239,27.5,-2.05375016263725,-0.454401130048858,0.0258142199262638,3.83498753707581,23.3930365653794,0.0193311229508088,1.02247665743527,0.905500527
"8","EMA",0.00752320291987284,17.6670266666667,0.000361288,5.69726160298059e-05,1.48039288718425,0.00450381265725896,-5.27058003246172,-4.02168473027426,-1.66671355053252,-6.71621912754715,1.6625073335,95.2717772832,512.661045752,0.1894666666,54.1466317200186,2005.12390666667,-4.34824624541027,0.0434344500804558,-0.850198308973404,0.202954996714726,-3.99523768532467,-2.50509372435151,33.13793103,20,-2.69357150912992,-0.486247048061534,0.0284679351267009,2.86232156398398,18.3942290815425,0.020011785013439,4.00000011375,0.365919055
"9","GAX",0.0068077901016419,18.53172267156,0.00016358944,4.70328641262406e-05,1.39408504015839,0.178322449476916,-4.17464480080409,-2.35246915573633,-2.50811339160713,-6.01673082359909,0.607623184333333,112.5538759052,267.515538684,0.37890666664,52.7847706202516,1987.78839495435,-3.82249329765301,0.0392488658633704,-1.31101614735252,0.228992229076649,-3.60871509022543,-1.78505404628218,29.16720257,35.5,-3.10864947043675,-0.488271218059459,0.0207435167958502,3.85342696582641,15.9506533501265,0.0205855303660824,2.20049715223628,0.52073344
"10","GNE",0.0113437018197112,20.5522746659967,0.0002976954625,3.54320727481699e-05,1.75078744499014,-0.394461404564186,-4.76373822590846,-3.92341034529933,-1.58275104853301,-6.90675477864855,1.84361396633333,138.22925058,421.545071393333,0.280311111066667,66.5667865606073,2806.23131666667,-4.29778828566637,0.0688938652740537,-0.724222844722367,-0.199305652867206,-4.01950378033117,-1.96461040526927,17.81505376,37.5,-2.26477636761819,-0.434670798838178,0.0191777556479596,4.33334395596789,20.1071071006875,0.0204702160802933,2.86481885779887,0.058636949
