,adult,seedling
Gynotroches axillaris,106,18
Strombosia ceylanica,89,49
Gironniera nervosa,84,16
Timonius wallichianus,73,19
Baccaurea bracteata,72,24
Aporosa frutescens,71,53
Garcinia parvifolia,71,44
Macaranga bancana,65,23
Rhodamnia cinerea,65,12
Campnosperma squamatum,62,40
Xanthophyllum flavescens,61,15
Prunus polystachya,58,113
Elaeocarpus mastersii,51,11
Lophopetalum multinervium,49,9
Bhesa paniculata,43,24
Pometia pinnata,42,29
Alstonia angustifolia,30,10
Aporosa symplocoides,30,1
Syzygium pachyphyllum,26,6
Pternandra coerulescens,24,2
Pternandra echinata,24,0
Knema malayana,23,1
Mussaendopsis beccariana,21,0
Pellacalyx axillaris,21,0
Archidendron clypearia,20,5
Macaranga gigantea,20,1
Horsfieldia crassifolia,20,0
Macaranga recurvata,19,0
Timonius flavescens,19,0
