Species,Sp,C Fresh,N Fresh,CN Ratio Fresh
Alstonia angustifolia,AAN,49.005,1.725,28.40869565
Aporosa frutescens,AFR,36.08,1.745,20.67621777
Aporosa symplocoides,ASY,39.225,2.795,14.03398927
Archidendron clypearia,ACL,50.18,2.62,19.15267176
Baccaurea bracteata,BBR,42.33,1.47,28.79591837
Bhesa paniculata,BPA,52.995,2.04,25.97794118
Calophyllum tetrapterum,CTE,49.065,0.985,49.81218274
Campnosperma squamatum,CSQ,46.425,1.34,34.64552239
Elaeocarpus mastersii,EMA,48.05,1.45,33.13793103
Elaeocarpus stipularis,EST,47.29,2.025,23.35308642
Garcinia parvifolia,GPA,45.72,1.48,30.89189189
Gironniera nervosa,GNE,41.42,2.325,17.81505376
Gluta wallichii,GWA,45.515,1.37,33.22262774
Gynotroches axillaris,GAX,45.355,1.555,29.16720257
Horsfieldia crassifolia,HCR,46.345,1.39,33.34172662
Hevea brasiliensis,HBR,48.135,3.74,12.87032086
Knema malayana,KMA,49.35,2,24.675
Lindera lucida,LLU,47.745,1.865,25.60053619
Lithocarpus ewyckii,LEW,48,1.48,32.43243243
Litsea firma,LFI,50.075,1.75,28.61428571
Lophopetalum multinervium,LMU,44.875,1.85,24.25675676
Macaranga bancana,MBA,44.405,2.65,16.75660377
Macaranga gigantea,MGI,46.95,2.075,22.62650602
Macaranga recurvata,MRE,43.22,4.955,8.722502523
Madhuca sp.,MSP,42.35,1.5,28.23333333
Mussaendopsis beccariana,MBE,46.375,1.33,34.86842105
Pellacalyx axillaris,PAX,45.855,1.93,23.75906736
Mallotus paniculatus,MPA,47.06,2.91,16.17182131
Pometia pinnata,PPI,48.025,1.51,31.80463576
Prunus polystachya,PPO,49.78,1.855,26.83557951
Pternandra coerulescens,PCO,43.825,1.335,32.82771536
Pternandra echinata,PEC,41.765,1.445,28.90311419
Rhodamnia cinerea,RCI,49.255,1.265,38.93675889
Strombosia ceylanica,SCE,48.78,2.185,22.32494279
Syzygium pachyphyllum,SPA,46.7,1.315,35.51330798
Timonius flavescens,TFL,46.985,1.405,33.44128114
Timonius wallichianus,TWA,48.255,1.94,24.87371134
Xanthophyllum flavescens,XFL,48.565,2.85,17.04035088
