Species,Sp,Trait,Value
Alstonia angustifolia,AAN,Hmax,37
Aporosa falcifera,AFA,Hmax,30
Aporosa frutescens,AFR,Hmax,27
Aporosa symplocoides,ASY,Hmax,12
Archidendron clypearia,ACL,Hmax,15
Artocarpus elasticus,AEL,Hmax,45
Baccaurea bracteata,BBR,Hmax,15
Bhesa paniculata,BPA,Hmax,35.5
Calophyllum tetrapterum,CTE,Hmax,12
Calophyllum wallichianum var. incrassatum,CWA,Hmax,40
Campnosperma squamatum,CSQ,Hmax,27.5
Elaeocarpus mastersii,EMA,Hmax,20
Elaeocarpus stipularis,EST,Hmax,30
Garcinia parvifolia,GPA,Hmax,33
Gironniera nervosa,GNE,Hmax,37.5
Gluta wallichii,GWA,Hmax,36
Gynotroches axillaris,GAX,Hmax,35.5
Horsfieldia crassifolia,HCR,Hmax,25
Knema malayana,KMA,Hmax,20
Lindera lucida,LLU,Hmax,15
Lithocarpus ewyckii,LEW,Hmax,30.5
Litsea firma,LFI,Hmax,42
Lophopetalum multinervium,LMU,Hmax,36.6
Maasia glauca,MGL,Hmax,30.5
Macaranga bancana,MBA,Hmax,23
Macaranga gigantea,MGI,Hmax,15
Macaranga recurvata,MRE,Hmax,30
Madhuca sp.,MSP,Hmax,39
Mussaendopsis beccariana,MBE,Hmax,35
Pellacalyx axillaris,PAX,Hmax,24.5
Pometia pinnata,PPI,Hmax,40
Prunus polystachya,PPO,Hmax,36
Pternandra coerulescens,PCO,Hmax,20
Pternandra echinata,PEC,Hmax,20
Rhodamnia cinerea,RCI,Hmax,17.5
Strombosia ceylanica,SCE,Hmax,38
Syzygium pachyphyllum,SPA,Hmax,13
Timonius flavescens,TFL,Hmax,12
Timonius wallichianus,TWA,Hmax,12
Xanthophyllum flavescens,XFL,Hmax,30
Aporosa lucida,ALU,Hmax,18
Baccaurea parviflora,,Hmax,10.05
Calophyllum pulcherrimum,,Hmax,30
Calophyllum rufigemmatum,,Hmax,48
Carallia brachiata,,Hmax,34
Diospyros lanceifolia,,Hmax,23.5
Diplospora malaccensis,,Hmax,18
Gymnacranthera farquhariana,,Hmax,45
Gymnacranthera forbesii,,Hmax,28.75
Horsfieldia wallichii,,Hmax,32.4
Macaranga griffithiana,,Hmax,20
Palaquium xanthochymum,,Hmax,40
Symplocos fasciculata,,Hmax,24
Syzygium lineatum,,Hmax,20
