,iv.dry,iv.wet,ssi.ba,ssi.stem
Actinodaphne macrophylla,0.052631579,0,0,0
Actinodaphne malaccensis,0.052631579,0,0,0
Adenanthera malayana,0.105263158,0,0,0
Adinandra dumosa,0.041590193,0.019979652,0.034115414,0.111111111
Aglaia elliptica ssp. elliptica,0,0.047619048,1,1
Aglaia lawii subsp. oligocarpa ,0.052631579,0,0,0
Aglaia odoratissima,0,0.047619048,1,1
Aidia densiflora,0.06521671,0.01811625,0,0
Alangium denudatum,0,0.095238095,1,1
Alangium ridleyi,0,0.047619048,1,1
Alseodaphne bancana,0,0.142857143,1,1
Alseodaphne cf. oblanceolata,0.052631579,0,0,0
Alseodaphne oblanceolata,0.052631579,0,0,0
Alstonia angustifolia,0,0.428571429,0.732845475,0.80952381
Alstonia angustiloba,0.010691369,0.113837713,0.108943097,0.5
Alstonia pneumatophora,0,0.047619048,1,1
Antidesma coriaceum,0.105263158,0,0,0
Antidesma cuspidatum,0.018219118,0.118131198,0.671515611,0.571428571
Aporosa benthamiana,0,0.095238095,0.766477893,0.777777778
Aporosa falcifera,0.003450017,0.177990416,1,1
Aporosa frutescens,0.301779986,0.162521153,0.282955305,0.257575758
Aporosa globifera,0.052631579,0,0,0
Aporosa lucida,0.222680555,0.075348829,0.220942179,0.25
Aporosa maingayi,0.052631579,0,0,0
Aporosa nervosa,0.157894737,0,0,0
Aporosa prainiana,0.210526316,0,0,0
Aporosa sp.,0.052631579,0,0,0
Aporosa subcaudata,0.105263158,0,0,0
Aporosa symplocoides,0.421052632,0,0,0
Aprosora frutescens,0.052631579,0,0,0
Aquilaria malaccensis,0.052631579,0,1,1
Aquilaria microcarpa,0.052631579,0,0,0
Archidendron clypearia,0.178681221,0.144725378,0.243420319,0.28
Archidendron ellipticum,0,0.047619048,0,0
Archidendron microcarpum,0,0.047619048,0,0
Ardisia teysmanniana,0.052631579,0,0,0
Artocarpus anisophyllus,0.052631579,0,0,0
Artocarpus elasticus,0.005333855,0.27123668,0.348069159,0.7
Artocarpus fulvicortex,0.052631579,0,0,0
Artocarpus hispidus,0,0.047619048,0,0
Artocarpus integer,0,0.047619048,1,1
Artocarpus kemando,0,0.095238095,1,1
Baccaurea bracteata,0.021528393,0.493516291,0.982417017,0.945205479
Baccaurea cf. pubera,0.052631579,0,1,1
Baccaurea macrocarpa,0.052631579,0,0,0
Baccaurea macrophylla,0.052631579,0,0,0
Baccaurea parviflora,0.196759333,0.012014978,0,0
Baccaurea polyneura,0,0.19047619,1,1
Baccaurea sumatrana,0,0.047619048,1,1
Barringtonia cf. racemosa,0.052631579,0,0,0
Beilschmiedia kunstleri,0.013279067,0.106813961,0.766106337,0.8
Beilschmiedia madang,0.052631579,0,0,0
Bhesa paniculata,0.179962189,0.105381227,0.338168303,0.282051282
Blumeodendron tokbrai,0,0.142857143,1,1
Bouea oppositifolia,0.052631579,0,0,0
Buchanania sessilifolia,0.051237895,0.04888,0,0
Calophyllum dispar,0,0.095238095,1,1
Calophyllum ferrugineum var. ferrugineum,0.003401175,0.089083588,0.941170115,0.833333333
Calophyllum lanigerum var. austrocoriaceum,0.052631579,0,0,0
Calophyllum pulcherrimum,0.31588143,0.013581671,0.155287793,0.166666667
Calophyllum rubiginosum,0.077626721,0.012502197,0.282378643,0.25
Calophyllum rufigemmatum,0.003025567,0.22440815,0.947702747,0.833333333
Calophyllum sundaicum ,0.052631579,0,0,0
Calophyllum tetrapterum var. tetrapterum,0.144209385,0.045000774,0.240553338,0.272727273
Calophyllum teysmannii,0.105263158,0,0,0
Calophyllum wallichianum var. incrassatum,0.05500547,0.045471241,0.278837195,0.25
Campnosperma auriculatum,0.002156309,0.137004303,0.962786814,0.714285714
Campnosperma squamatum,0.038228151,0.554813924,0.905500527,0.846153846
Canarium cf. littorale,0.052631579,0,0,0
Canarium littorale,0.046266422,0.011517904,1,0.833333333
