"","a","b","c"
"Alstonia angustifolia",-2.82414826917813,0.611256055641629,0.0266641531761976
"Aporosa falcifera",-2.58818218427077,0.624777469931679,0.0241274149185592
"Aporosa frutescens",-2.83126219414283,0.61364988916249,0.0280650081774695
"Aporosa lucida",-2.69872159332797,0.616431555180402,0.0260583111343798
"Aporosa symplocoides",-2.46508705647448,0.623859566903927,0.0255657860946378
"Archidendron clypearia",-1.75350747441794,0.64062281156053,0.0252575306869843
"Artocarpus elasticus",-2.64877674773313,0.620621661232486,0.0260646710155921
"Baccaurea bracteata",-2.76305902276309,0.618262072728896,0.0242303019762854
"Baccaurea parviflora",-2.64234124190797,0.624334584056251,0.0238321625858626
"Bhesa paniculata",-2.49550036110724,0.626357348373212,0.0276956821381299
"Calophyllum pulcherrimum",-2.46205425021842,0.631064937947943,0.0217719166460844
"Calophyllum rufigemmatum",-2.5160733525081,0.638867315429912,0.0195050983154057
"Calophyllum tetrapterum var. tetrapterum",-2.27490081260491,0.638934424460641,0.0204777066042124
"Campnosperma squamatum",-2.05375016263725,0.634828033565375,0.0258142199262638
"Canarium littorale",-2.2889014261377,0.638515667011426,0.0196580658838002
"Carallia brachiata",-2.33970499735143,0.641330913092339,0.0161106469995634
"Cryptocarya ferrea",-2.51101990770756,0.628276077583427,0.0234911143763335
"Diospyros lanceifolia",-2.59029316422649,0.636649614308969,0.0229102842022573
"Diplospora malaccensis",-2.54320427184579,0.615560728329153,0.0279706039150348
"Elaeocarpus mastersii",-2.69357150912992,0.614929871313867,0.0284679351267009
"Garcinia parvifolia",-2.73326440835865,0.624039417877174,0.0195718338882957
"Gironniera nervosa",-2.26477636761819,0.64747778243543,0.0191777556479596
"Gluta wallichii",-2.22205453857462,0.632734962608676,0.0262197217829411
"Gymnacranthera farquhariana",-2.55702090986889,0.623777712551936,0.0252905395298227
"Gynotroches axillaris",-3.10864947043675,0.61368640763303,0.0207435167958502
"Horsfieldia crassifolia",-2.59128317565321,0.622899885775316,0.0246565970320469
"Horsfieldia polyspherula",-2.33532261411387,0.633056364119654,0.0218401235002311
"Knema malayana",-2.59743673469881,0.619085223738256,0.0263590144389332
"Lithocarpus ewyckii",-2.1217511538136,0.648213245513394,0.0205721910326869
"Lophopetalum multinervium",-2.55290404031559,0.629639558941039,0.0218237537344099
"Macaranga bancana",-2.60229935311373,0.612229056607274,0.0297689897914187
"Macaranga gigantea",-2.23550325486483,0.634795316986038,0.0235926850098858
"Macaranga griffithiana",-2.49890042659754,0.630490397644878,0.0222336963017423
"Macaranga recurvata",-2.34969506034224,0.632859172352218,0.0237294187794173
"Madhuca sp.",-2.51209218209992,0.618717966588044,0.0334994615061497
"Mussaendopsis beccariana",-2.81136889777491,0.620143304533689,0.0210562185666961
"Myristica elliptica",-2.19891049578861,0.632818658984251,0.0230033220437876
"Osmelia philippina",-2.73601728057224,0.618581704991716,0.0253783497755209
"other.spp",-2.48543785226846,0.637648110372307,0.0122786411675405
"Palaquium xanthochymum",-2.33867696694399,0.644474999728494,0.0171488575108954
"Pellacalyx axillaris",-2.71599823450409,0.616187977179172,0.0282939137461924
"Pentace triptera",-2.53129678603821,0.628179219825919,0.0205264792422486
"Pometia pinnata",-2.52626953375145,0.627820335179168,0.0304211904890225
"Prunus polystachya",-1.92476819493185,0.652347124867376,0.0275818706177257
"Pternandra coerulescens",-2.75722399061266,0.616630784269836,0.027233021484773
"Pternandra echinata",-2.69465277893382,0.613802218910918,0.0335175988088574
"Rhodamnia cinerea",-3.12313798764412,0.599892416318607,0.0338726246768635
"Sandoricum beccarianum",-2.22600863893999,0.640969665044442,0.0216423286006671
"Strombosia ceylanica",-2.44774291181689,0.619768289722898,0.0256702469516528
"Symplocos fasciculata",-2.49427619388645,0.62675275402373,0.0238132014511242
"Syzygium lineatum",-2.31016909919335,0.637974813106452,0.024981156130247
"Syzygium pachyphyllum",-2.61408558743801,0.620591648137651,0.0255388734497583
"Syzygium pseudoformosum",-2.64052913615397,0.621870162392717,0.0251019648266866
"Timonius flavescens",-2.81143936858325,0.613188930904798,0.02715409822972
"Timonius wallichianus",-2.75070572791309,0.615032242231662,0.0240262435168886
"Xanthophyllum flavescens",-2.43199573437802,0.631603203657798,0.0215824383996513
"Xylopia malayana",-2.76541024635874,0.616728441127682,0.0256334898835609
