Leaf,UE1.1,UE1.2,UE1.3,UE1.4,UE1.5,UE2.1,UE2.2,UE2.3,UE2.5,UE2.5,UE3.1,UE3.2,UE3.3,UE3.4,UE3.5,LE1.1,LE1.2,LE1.3,LE1.4,LE1.5,LE2.1,LE2.2,LE2.3,LE2.4,LE2.5,LE3.1,LE3.2,LE3.3,LE3.4,LE3.5,PM1.1,PM1.2,PM1.3,PM1.4,PM1.5,PM2.1,PM2.2,PM2.3,PM2.4,PM2.5,PM3.1,PM3.2,PM3.3,PM3.4,PM3.5,SM1.1,SM1.2,SM1.3,SM1.4,SM1.5,SM2.1,SM2.2,SM2.3,SM2.4,SM2.5,SM3.1,SM3.2,SM3.3,SM3.4,SM3.5,UC1.1,UC1.2,UC1.3,UC1.4,UC1.5,UC2.1,UC2.2,UC2.3,UC2.4,UC2.5,UC3.1,UC3.2,UC3.3,UC3.4,UC3.5,LC1.1,LC1.2,LC1.3,LC1.5,LC1.5,LC2.1,LC2.2,LC2.3,LC2.4,LC2.5,LC3.1,LC3.2,LC3.3,LC3.4,LC3.5,Data collected by
AAN03-01-01,30.53045388,30.44322401,32.97289019,29.83261493,33.58349927,30.70491362,35.76424597,35.93870571,33.4962694,34.45579795,37.94499268,38.73006149,36.81100439,35.4153265,34.45579795,12.29941142,9.3335959,8.984676428,12.38664129,10.11866471,10.03143485,9.420825769,7.763458272,7.414538799,4.535953148,8.984676428,7.152849195,6.803929722,6.542240117,5.757171303,85.398041,78.59411127,90.89352269,89.32338507,98.74421083,86.35756955,72.40079063,83.7406735,79.29195022,82.69391508,79.37918009,68.6499063,77.46012299,82.25776574,73.01139971,103.1057042,107.3799678,106.6821288,111.218082,111.5670015,104.9375315,116.2774143,111.218082,114.7945066,114.1838975,107.1182782,108.3394963,102.8440146,107.4671977,104.3269224,9.85697511,9.246366032,8.199607613,8.461297218,9.3335959,8.112377745,9.508055637,8.635756955,8.286837482,8.635756955,6.978389458,8.199607613,6.716699854,7.850688141,8.461297218,3.401964861,3.140275256,4.710412884,5.146562225,4.44872328,4.012573939,4.099803807,2.96581552,2.704125915,2.704125915,1.919057101,2.529666179,3.663654466,2.704125915,3.053045388,Huang Jie
AAN03-01-02,39.77681991,40.03850952,34.80471742,42.13202635,38.20668228,40.38742899,35.1536369,38.11945242,30.35599414,37.42161347,35.67701611,37.50884334,42.91709517,40.73634846,36.11316545,11.77603221,10.46758419,9.85697511,9.3335959,11.252653,9.071906296,12.9100205,12.29941142,9.595285505,8.810216691,9.595285505,8.548527086,8.548527086,7.588998536,10.03143485,110.1713236,94.7316369,72.31356076,90.80629283,88.18939678,109.0373353,102.4078653,86.09587994,87.5787877,90.02122401,91.94028111,90.45737335,83.7406735,84.43851245,90.19568375,95.25501611,90.37014348,119.0687701,101.5355666,88.45108638,87.05540849,96.82515373,103.6290835,133.8106179,122.470735,99.18036018,103.1057042,120.9005974,102.8440146,127.5300673,6.89115959,6.629469985,7.501768668,8.025147877,6.978389458,7.414538799,6.542240117,7.937918009,8.897446559,7.676228404,5.233792094,5.757171303,9.071906296,7.327308931,4.972102489,5.233792094,4.972102489,5.233792094,4.361493411,4.884872621,6.803929722,6.629469985,4.710412884,5.93163104,5.757171303,4.623183016,4.361493411,4.797642753,4.44872328,4.972102489,Huang Jie
AAN03-01-03,48.15088726,40.56188873,44.31277306,47.97642753,41.43418741,45.62122108,43.00432504,42.04479649,40.47465886,36.81100439,37.94499268,41.52141728,40.12573939,40.12573939,39.77681991,7.152849195,6.89115959,7.414538799,5.757171303,5.495481698,7.152849195,9.595285505,8.37406735,7.152849195,7.763458272,8.199607613,7.327308931,11.16542313,7.501768668,10.29312445,86.53202928,101.3611069,102.9312445,76.23890483,86.09587994,85.22358126,85.48527086,87.3170981,80.25147877,86.35756955,76.3261347,106.9438184,74.31984773,67.95206735,81.29823719,107.1182782,107.6416574,95.86562518,115.1434261,116.1029546,109.8224041,114.7945066,117.5858624,115.841265,98.74421083,100.2271186,103.9780029,101.0121874,105.4609107,101.971716,6.106090776,5.495481698,5.582711567,5.495481698,5.757171303,6.542240117,7.763458272,8.112377745,7.152849195,7.501768668,6.629469985,6.978389458,7.327308931,6.280550512,8.635756955,4.361493411,5.495481698,3.838114202,3.838114202,4.710412884,4.187033675,4.797642753,4.710412884,4.710412884,3.314734993,4.187033675,4.44872328,4.361493411,2.180746706,3.576424597,Huang Jie
AAN03-01-04,29.48369546,18.23104246,21.45854758,24.4243631,27.82632796,36.63654466,34.89194729,40.12573939,32.97289019,36.63654466,40.82357833,43.00432504,47.27858858,45.79568082,44.83615227,9.246366032,8.199607613,8.37406735,5.669941435,5.844401171,9.420825769,7.327308931,8.025147877,7.327308931,7.152849195,6.629469985,7.240079063,9.3335959,6.455010249,8.025147877,87.75324744,106.1587496,79.20472035,80.1642489,80.07701903,85.22358126,86.96817862,81.64715666,73.01139971,89.14892533,114.4455871,109.0373353,111.5670015,111.3053119,99.00590044,113.834978,111.7414612,122.6451947,104.9375315,105.7226003,98.5697511,118.1092416,87.75324744,99.26759004,102.4950952,103.4546237,130.3214231,137.2125827,121.772896,110.6074729,4.884872621,4.361493411,3.92534407,4.710412884,3.227505124,5.669941435,5.059332357,5.40825183,4.274263543,4.44872328,6.367780381,4.972102489,3.314734993,4.710412884,4.361493411,5.40825183,5.40825183,5.059332357,5.844401171,5.40825183,4.274263543,3.92534407,3.92534407,4.44872328,3.663654466,5.233792094,8.025147877,4.535953148,5.757171303,4.710412884,Huang Jie
AAN03-01-05,42.30648609,43.44047438,39.42790044,40.47465886,34.71748755,36.20039531,33.4962694,36.72377452,27.82632796,29.6581552,25.47112152,30.96660322,40.56188873,40.99803807,39.51513031,8.025147877,8.548527086,9.85697511,8.548527086,9.246366032,5.757171303,6.455010249,5.844401171,5.93163104,7.414538799,8.286837482,9.944204978,8.286837482,6.455010249,7.501768668,101.1866471,88.71277599,89.84676428,88.45108638,79.72809956,85.04912152,71.79018155,84.87466179,91.76582138,78.85580088,66.20746999,74.05815813,82.86837482,82.69391508,98.8314407,86.53202928,108.6011859,103.5418536,101.1866471,100.2271186,112.8754495,94.81886676,113.9222079,104.8503016,102.1461757,137.2998126,132.5021698,133.025549,129.5363543,127.1811479,5.40825183,6.455010249,5.93163104,5.40825183,7.240079063,4.710412884,4.710412884,5.582711567,4.710412884,4.710412884,6.629469985,5.757171303,6.455010249,5.40825183,5.059332357,6.455010249,6.629469985,5.233792094,4.710412884,5.495481698,5.059332357,4.535953148,3.663654466,5.233792094,4.012573939,5.233792094,5.059332357,3.489194729,4.012573939,3.838114202,Huang Jie
AAN03-02-01,33.06012006,34.19410835,33.757959,43.17878477,46.23183016,43.87662372,35.67701611,39.42790044,36.72377452,34.89194729,35.67701611,40.03850952,34.19410835,37.94499268,35.06640703,5.582711567,6.367780381,6.978389458,11.42711274,8.461297218,8.199607613,8.37406735,7.152849195,8.635756955,9.595285505,9.3335959,8.37406735,3.576424597,5.40825183,6.280550512,82.34499561,71.52849195,72.92416984,89.84676428,81.12377745,81.29823719,83.04283455,81.64715666,88.62554612,78.33242167,93.94656808,92.89980966,78.15796193,77.02397365,83.91513324,112.3520703,108.6011859,98.74421083,103.4546237,104.2396925,93.0742694,104.2396925,111.8286911,103.280164,112.0031508,103.8907731,104.9375315,102.8440146,98.13360176,105.7226003,6.803929722,5.495481698,4.710412884,4.710412884,4.797642753,4.274263543,4.274263543,5.059332357,5.844401171,4.274263543,5.059332357,6.106090776,5.233792094,4.535953148,4.884872621,2.791355783,4.797642753,5.757171303,3.838114202,3.140275256,4.274263543,4.535953148,4.710412884,3.576424597,2.791355783,2.96581552,3.92534407,3.92534407,3.314734993,3.92534407,Huang Jie
AAN03-02-02,37.59607321,31.66444217,29.30923572,26.3434202,31.48998243,36.20039531,31.48998243,28.96031625,30.79214348,29.13477599,24.86051245,48.06365739,51.29116252,48.5870366,54.95481698,11.252653,7.327308931,8.897446559,7.327308931,10.20589458,7.152849195,8.722986823,8.37406735,8.635756955,10.90373353,9.682515373,8.635756955,10.29312445,5.93163104,8.810216691,87.84047731,87.14263836,86.44479941,81.73438653,81.8216164,86.35756955,82.34499561,94.46994729,91.4169019,105.3736808,99.00590044,101.7100264,100.3143485,101.3611069,95.16778624,110.4330132,105.1992211,106.594899,107.1182782,141.1379268,126.0471596,118.2837013,118.1964714,121.2495168,128.4895959,82.69391508,79.9025593,82.25776574,80.07701903,87.92770717,4.44872328,4.797642753,3.92534407,5.146562225,5.495481698,4.361493411,6.280550512,5.844401171,5.059332357,5.40825183,5.40825183,4.710412884,5.844401171,5.582711567,6.629469985,2.44243631,2.267976574,3.140275256,4.187033675,5.40825183,3.576424597,4.535953148,3.92534407,5.059332357,4.187033675,4.884872621,5.582711567,3.489194729,3.140275256,3.227505124,Huang Jie
AAN03-02-03,34.97917716,37.42161347,31.40275256,33.06012006,33.14734993,43.26601464,42.39371596,42.30648609,48.67426647,49.45933529,41.1724978,34.54302782,37.24715373,35.85147584,36.37485505,7.152849195,7.763458272,8.722986823,9.071906296,10.29312445,6.803929722,6.193320644,7.937918009,7.327308931,6.629469985,8.635756955,8.635756955,8.37406735,7.850688141,7.763458272,83.13006442,75.88998536,82.17053587,93.77210835,91.94028111,81.21100732,82.43222548,83.56621376,84.08959297,87.22986823,67.77760761,81.55992679,81.90884627,76.50059444,69.69666471,101.1866471,105.8098302,112.2648404,100.0526589,114.6200469,113.0499092,114.4455871,107.2927379,116.3646442,116.1029546,103.1057042,104.8503016,88.71277599,87.3170981,95.77839531,5.844401171,7.327308931,7.152849195,6.978389458,6.978389458,7.327308931,5.059332357,6.978389458,5.495481698,5.669941435,6.018860908,7.763458272,6.629469985,6.367780381,6.106090776,5.059332357,5.059332357,6.629469985,5.059332357,4.710412884,6.803929722,5.844401171,6.367780381,6.018860908,4.012573939,5.669941435,4.012573939,5.582711567,6.106090776,4.361493411,Huang Jie
AAN03-02-04,32.10059151,29.13477599,25.820041,28.43693704,27.56463836,31.5772123,38.81729136,39.95127965,34.19410835,40.73634846,26.43065007,30.70491362,38.90452123,38.11945242,32.27505124,10.11866471,8.112377745,7.414538799,5.40825183,6.978389458,6.978389458,6.978389458,7.501768668,5.233792094,5.757171303,5.93163104,4.710412884,8.025147877,10.90373353,6.280550512,75.19214641,72.83693997,81.12377745,98.74421083,78.59411127,80.94931772,81.12377745,78.59411127,83.65344363,86.96817862,65.59686091,84.26405271,86.88094876,67.51591801,69.69666471,109.8224041,106.9438184,116.8880234,116.0157247,110.6947028,106.8565886,91.50413177,96.38900439,94.90609663,96.56346413,108.7756457,109.9968638,97.34853294,119.9410688,119.6793792,4.884872621,6.193320644,6.716699854,5.40825183,4.884872621,5.40825183,4.710412884,5.40825183,4.44872328,5.582711567,4.012573939,5.059332357,3.838114202,4.012573939,3.489194729,4.535953148,4.535953148,5.233792094,4.012573939,3.838114202,4.797642753,3.663654466,4.187033675,3.838114202,4.535953148,3.576424597,4.187033675,3.314734993,4.187033675,3.489194729,Huang Jie
AAN03-02-05,32.18782138,33.757959,31.75167204,31.05383309,28.08801757,31.92613177,30.18153441,33.84518887,39.51513031,33.84518887,39.95127965,44.13831332,40.82357833,37.42161347,45.70845095,6.89115959,8.025147877,4.797642753,9.595285505,12.47387116,8.199607613,7.850688141,8.810216691,8.199607613,9.420825769,6.455010249,4.972102489,7.676228404,6.629469985,8.025147877,84.78743192,65.3351713,99.70373939,90.28291362,78.94303075,69.26051537,91.59136164,91.94028111,86.88094876,86.09587994,81.21100732,81.90884627,85.74696047,110.4330132,102.8440146,133.9850776,126.2216193,127.4428375,132.9383192,124.3897921,123.1685739,115.3178858,121.8601259,123.4302635,93.16149927,91.85305124,107.8161171,99.61650952,93.94656808,96.47623426,5.93163104,5.757171303,4.884872621,4.797642753,6.978389458,5.582711567,6.018860908,5.233792094,5.059332357,4.012573939,6.106090776,4.535953148,6.280550512,6.280550512,5.233792094,5.059332357,4.710412884,4.44872328,4.710412884,3.314734993,3.838114202,3.663654466,3.838114202,3.838114202,4.535953148,4.972102489,6.280550512,3.663654466,3.838114202,4.44872328,Huang Jie
