species,twig,indiv,hydrology,area,fresh_mass,dry_mass,thickness,ldmc,SLA
afr,afr01,afr01_l01,dry,16.275,0.35,0.1005,0.186333333,287.1428571,161.9402985
afr,afr01,afr01_l02,dry,16.365,0.38,0.1028,0.219,270.5263158,159.192607
afr,afr01,afr01_l03,dry,14.859,0.35,0.096,0.212,274.2857143,154.78125
afr,afr01,afr01_l04,dry,12.53,0.33,0.1058,0.241666667,320.6060606,118.4310019
afr,afr01,afr01_l05,dry,23.18,0.53,0.1493,0.200333333,281.6981132,155.2578701
bbr,bbr01,bbr01_l01,wet,65.574,2.18,0.8099,0.321333333,371.5137615,80.9655513
bbr,bbr01,bbr01_l02,wet,68.255,2.34,0.8416,0.342333333,359.6581197,81.10147338
bbr,bbr01,bbr01_l03,wet,111.816,3.47,1.1061,0.329,318.7608069,101.0903173
bbr,bbr01,bbr01_l04,wet,115.52,3.85,1.3491,0.350333333,350.4155844,85.62745534
bbr,bbr01,bbr01_l05,wet,77.201,2.63,0.9106,0.323333333,346.2357414,84.78036459
gax,gax01,gax01_l01,wet,25.68,0.91,0.2269,0.347666667,249.3406593,113.1776113
gax,gax01,gax01_l02,wet,40.677,1.39,0.3266,0.381666667,234.9640288,124.5468463
gax,gax01,gax01_l03,wet,39.442,1.47,0.4359,0.403666667,296.5306122,90.48405598
gax,gax01,gax01_l04,wet,26.588,0.99,0.2685,0.379333333,271.2121212,99.02420857
gax,gax01,gax01_l05,wet,41.645,1.38,0.2799,0.451333333,202.826087,148.7852805
gax,gax02,gax02_l01,wet,25.071,0.85,0.2289,0.378666667,269.2941176,109.5281782
gax,gax02,gax02_l02,wet,35.714,1.03,0.2257,0.349666667,219.1262136,158.2365973
gax,gax02,gax02_l03,wet,30.319,0.99,0.2659,0.357333333,268.5858586,114.0240692
gax,gax02,gax02_l04,wet,28.841,0.9,0.2344,0.330666667,260.4444444,123.0418089
gax,gax02,gax02_l05,wet,33.442,1.04,0.2299,0.341333333,221.0576923,145.4632449
gax,gax03,gax03_l01,wet,34.761,1.24,0.3388,0.403333333,273.2258065,102.6003542
gax,gax03,gax03_l02,wet,38.561,1.39,0.3514,0.418666667,252.8057554,109.7353443
gax,gax03,gax03_l03,wet,38.845,1.25,0.2986,0.357666667,238.88,130.090422
gax,gax03,gax03_l04,wet,32.266,1.12,0.2999,0.437333333,267.7678571,107.5891964
gax,gax03,gax03_l05,wet,30.189,1,0.2674,0.377,267.4,112.8982797
gax,gax04,gax04_l01,dry,89.651,3.14,1.0264,0.340666667,326.8789809,87.34508963
gax,gax04,gax04_l02,dry,117.452,3.63,1.0674,0.339666667,294.0495868,110.0356005
gax,gax04,gax04_l03,dry,81.348,2.76,0.9039,0.388333333,327.5,89.99668105
gax,gax04,gax04_l04,dry,68.209,2.36,0.6759,0.312,286.3983051,100.9158159
gax,gax04,gax04_l05,dry,94.618,2.89,0.8282,0.345333333,286.5743945,114.2453514
gax,gax05,gax05_l01,wet,64.569,2.38,0.713,0.459333333,299.5798319,90.55960729
gax,gax05,gax05_l02,wet,28.788,0.95,0.2448,0.384,257.6842105,117.5980392
gax,gax05,gax05_l03,wet,41.628,1.44,0.4001,0.362333333,277.8472222,104.043989
gax,gax05,gax05_l04,wet,51.985,1.95,0.5585,0.427333333,286.4102564,93.07967771
gax,gax05,gax05_l05,wet,33.195,1.13,0.2842,0.398333333,251.5044248,116.8015482
mba,mba01,mba01_l01,dry,356.912,6.36,2.31,0.215,363.2075472,154.5073593
mba,mba01,mba01_l02,dry,394.586,7.87,2.99,0.257,379.9237611,131.9685619
mba,mba01,mba01_l03,dry,410.044,8.57,3.6,0.236333333,420.0700117,113.9011111
mba,mba01,mba01_l04,dry,331.446,5.53,2,0.177,361.6636528,165.723
mba,mba01,mba01_l05,dry,262.321,6.06,2.51,0.261,414.1914191,104.5103586
mgi,mgi01,mgi01_l01,dry,891.591,16.45,5.95,0.393666667,361.7021277,149.8472269
mgi,mgi01,mgi01_l02,dry,854.254,18.21,6.92,0.356333333,380.010983,123.4471098
mgi,mgi01,mgi01_l03,dry,1024.842,23.7,8.97,0.350666667,378.4810127,114.2521739
mgi,mgi01,mgi01_l04,dry,804.536,18.43,6.72,0.365666667,364.6228974,119.722619
mgi,mgi01,mgi01_l05,dry,840.481,18.51,6.62,0.317333333,357.6445165,126.9608761
mgi,mgi02,mgi02_l01,dry,2744.756,50.58,23.96,0.361333333,473.7050217,114.5557596
mgi,mgi02,mgi02_l02,dry,2215.778,41.33,18.32,0.329333333,443.2615534,120.9485808
mgi,mgi02,mgi02_l03,dry,3337.838,53.62,28.03,0.34,522.7527042,119.0809133
mgi,mgi02,mgi02_l04,dry,2324.926,32.34,17.94,0.292,554.7309833,129.5945373
mgi,mgi02,mgi02_l05,dry,2320.072,33.67,21.55,0.297666667,640.03564,107.6599536
mre,mre01,mre01_l01,wet,382.594,9.92,3.96,0.274333333,399.1935484,96.61464646
mre,mre01,mre01_l02,wet,369.28,9.1,3.77,0.251,414.2857143,97.95225464
mre,mre01,mre01_l03,wet,417.454,10.83,4.32,0.228,398.8919668,96.63287037
mre,mre01,mre01_l04,wet,316.888,10.01,4.46,0.272666667,445.5544456,71.05112108
mre,mre01,mre01_l05,wet,437.126,13.31,5.51,0.272666667,413.9744553,79.33321234
mre,mre02,mre02_l01,wet,797.37,22.08,8.17,0.252333333,370.0181159,97.59730722
mre,mre02,mre02_l02,wet,984.592,24.18,8.53,0.233333333,352.770885,115.4269637
mre,mre02,mre02_l03,wet,609.393,17.51,7.76,0.273666667,443.1753284,78.53002577
mre,mre02,mre02_l04,wet,1001.605,26.29,10.09,0.26,383.7961202,99.26709613
mre,mre02,mre02_l05,wet,631.88,19.16,7.35,0.276333333,383.611691,85.97006803
mre,mre03,mre03_l01,wet,473.7,14.3,6.17,0.269,431.4685315,76.77471637
mre,mre03,mre03_l02,wet,503.798,14.53,5.68,0.255666667,390.9153476,88.69683099
mre,mre03,mre03_l03,wet,384.233,11.7,5.29,0.281333333,452.1367521,72.63383743
mre,mre03,mre03_l04,wet,497.732,14.52,5.97,0.269666667,411.1570248,83.3721943
mre,mre03,mre03_l05,wet,306.285,8.7,3.56,0.268,409.1954023,86.03511236
pax,pax01,pax01_l01,wet,70.836,1.95,0.5038,0.325333333,258.3589744,140.6034141
pax,pax01,pax01_l02,wet,66.528,1.86,0.4791,0.342,257.5806452,138.8603632
pax,pax01,pax01_l03,wet,80.343,2.44,0.6647,0.355333333,272.4180328,120.8710697
pax,pax01,pax01_l04,wet,58.207,1.8,0.4709,0.337666667,261.6111111,123.6079847
pax,pax01,pax01_l05,wet,81.299,2.21,0.5761,0.310333333,260.678733,141.1195973
pax,pax02,pax02_l01,wet,57.583,1.74,0.517,0.328666667,297.1264368,111.3791103
pax,pax02,pax02_l02,wet,36.665,1.11,0.3046,0.314,274.4144144,120.3709783
pax,pax02,pax02_l03,wet,73.442,2.38,0.6918,0.350333333,290.6722689,106.1607401
pax,pax02,pax02_l04,wet,84.042,2.5,0.6567,0.342333333,262.68,127.9762449
pax,pax02,pax02_l05,wet,46.788,1.44,0.4356,0.303666667,302.5,107.4104683
pax,pax03,pax03_l01,wet,94.945,2.46,0.7291,0.276333333,296.3821138,130.2221917
pax,pax03,pax03_l02,wet,65.995,2.02,0.5874,0.351,290.7920792,112.3510385
pax,pax03,pax03_l03,wet,73.575,2.14,0.6589,0.305333333,307.8971963,111.6633784
pax,pax03,pax03_l04,wet,78.417,2.23,0.6229,0.311666667,279.3273543,125.890191
pax,pax03,pax03_l05,wet,75.228,2.01,0.5849,0.308,290.9950249,128.6168576
pax,pax04,pax04_l01,dry,81.098,2.61,0.7095,0.367666667,271.8390805,114.3030303
pax,pax04,pax04_l02,dry,84.642,2.38,0.6054,0.304,254.3697479,139.8116947
pax,pax04,pax04_l03,dry,76.995,1.91,0.4584,0.245333333,240,167.9646597
pax,pax04,pax04_l04,dry,88.905,2.65,0.6988,0.315666667,263.6981132,127.2252433
pax,pax04,pax04_l05,dry,64.224,2.03,0.5457,0.347666667,268.817734,117.691039
pco,pco01,pco01_l01,dry,30.178,0.72,0.2379,0.244,330.4166667,126.8516183
pco,pco01,pco01_l02,dry,26.522,0.71,0.2397,0.268,337.6056338,110.6466416
pco,pco01,pco01_l03,dry,29.503,0.87,0.281,0.296333333,322.9885057,104.9928826
pco,pco01,pco01_l04,dry,36.779,1.18,0.3857,0.294,326.8644068,95.35649468
pco,pco01,pco01_l05,dry,29.74,0.74,0.2245,0.261,303.3783784,132.4721604
pco,pco02,pco02_l01,wet,40.147,1.14,0.4115,0.272,360.9649123,97.56257594
pco,pco02,pco02_l02,wet,88.809,3.36,1.2612,0.352666667,375.3571429,70.41627022
pco,pco02,pco02_l03,wet,59.518,1.84,0.6477,0.276,352.0108696,91.8913077
pco,pco02,pco02_l04,wet,74.586,2.45,0.8714,0.277333333,355.6734694,85.59329814
pco,pco02,pco02_l05,wet,40.471,1.1,0.401,0.261666667,364.5454545,100.925187
pco,pco03,pco03_l01,dry,54.249,1.79,0.6485,0.316333333,362.2905028,83.65304549
pco,pco03,pco03_l02,dry,45.653,1.53,0.5448,0.318333333,356.0784314,83.79772394
pco,pco03,pco03_l03,dry,29.05,0.96,0.3376,0.315666667,351.6666667,86.0485782
pco,pco03,pco03_l04,dry,42.817,1.48,0.5286,0.336,357.1621622,81.00075672
pco,pco03,pco03_l05,dry,24.09,0.66,0.2136,0.261666667,323.6363636,112.7808989
pec,pec01,pec01_l01,dry,16.917,0.37,0.1044,0.200333333,282.1621622,162.0402299
pec,pec01,pec01_l02,dry,14.763,0.33,0.0978,0.197666667,296.3636364,150.9509202
pec,pec01,pec01_l03,dry,14.796,0.32,0.093,0.198,290.625,159.0967742
pec,pec01,pec01_l04,dry,13.503,0.28,0.0788,0.196666667,281.4285714,171.357868
pec,pec01,pec01_l05,dry,13.986,0.3,0.0829,0.19,276.3333333,168.7092883
pec,pec02,pec02_l01,dry,28.321,0.62,0.2294,0.256,370,123.4568439
pec,pec02,pec02_l02,dry,26.771,0.79,0.207,0.233,262.0253165,129.3285024
pec,pec02,pec02_l03,dry,24.662,0.59,0.1966,0.248,333.220339,125.4425229
pec,pec02,pec02_l04,dry,31.131,0.63,0.2542,0.270333333,403.4920635,122.4665618
pec,pec02,pec02_l05,dry,26.524,0.73,0.2053,0.242,281.2328767,129.1962981
