Leaf,TL1,TL2,TL3,Data collected by,Area
AAN03-01-01,41128.30889,40430.359,41384.54191,Huang Jie,4259464
AAN03-01-02,40034.48945,37976.01437,38065.38174,Huang Jie,4259464
AAN03-01-03,40724.52661,41778.08417,41337.29822,Huang Jie,4259464
AAN03-01-04,38256.21833,38824.30625,40102.21317,Huang Jie,4259464
AAN03-01-05,41575.84394,39547.62344,40825.99581,Huang Jie,4259464
AAN03-02-01,39375.0299,38215.56563,40769.31797,Huang Jie,4259464
AAN03-02-02,38257.08722,39003.42911,41138.82524,Huang Jie,4259464
AAN03-02-03,39811.53,41833.1779,42531.01978,Huang Jie,4259464
AAN03-02-04,37998.53681,38165.32101,40939.59139,Huang Jie,4259464
AAN03-02-05,41089.97631,39734.76739,41484.25697,Huang Jie,4259464
AAN04-01-01,36644.02573,39730.23142,42258.86145,Huang Jie,4259464
AAN04-01-02,44094.18558,41858.64913,41407.14544,Huang Jie,4259464
AAN04-01-03,49173.42766,49712.85943,48499.31241,Huang Jie,4259464
AAN04-01-04,41750.13472,43415.88328,42720.13493,Huang Jie,4259464
AAN04-01-05,44857.62459,43878.20352,45723.64635,Huang Jie,4259464
AAN04-02-01,37777.32093,46084.4306,43541.14589,Huang Jie,4259464
AAN04-02-02,43937.869,44227.12445,45936.48812,Huang Jie,4259464
AAN04-02-03,51262.41731,50154.94225,50556.89917,Huang Jie,4259464
AAN04-02-04,41753.97285,42444.48739,40735.12372,Huang Jie,4259464
AAN04-02-05,41161.5051,42134.99452,39760.58754,Huang Jie,4259464
AAN05-01-01,34675.93787,37278.52993,37174.03527,Huang Jie,4259464
AAN05-01-02,35542.61522,35091.12379,36941.075,Huang Jie,4259464
AAN05-01-03,35119.28383,35102.76017,35945.23386,Huang Jie,4259464
AAN05-01-04,37213.59895,35361.08774,35779.99731,Huang Jie,4259464
AAN05-01-05,36243.35784,34660.57785,35102.76017,Huang Jie,4259464
AAN05-02-01,38416.19517,40043.91134,38024.00804,Huang Jie,4259464
AAN05-02-02,35940.60112,38019.82098,37004.11214,Huang Jie,4259464
AAN05-02-03,34803.46779,34984.20883,36232.64794,Huang Jie,4259464
AAN05-02-04,34322.30581,33830.32729,35376.39596,Huang Jie,4259464
AAN05-02-05,35550.15859,34279.73746,35050.85273,Huang Jie,4259464
ACL01-01-01,53945.39526,45401.55887,44139.34942,Huang Jie,4259464
ACL01-01-02,44836.00767,48273.24215,47514.08492,Huang Jie,4259464
ACL01-01-03,47188.68528,49784.30716,46281.17587,Huang Jie,4259464
ACL01-01-04,39424.58039,41207.15698,48678.32771,Huang Jie,4259464
ACL01-01-05,53146.39391,49387.6347,51004.0671,Huang Jie,4259464
ACL01-02-01,51485.67347,49982.34665,54220.32678,Huang Jie,4259464
ACL01-02-02,50659.8747,56940.08553,56113.57694,Huang Jie,4259464
ACL01-02-03,49248.51018,53323.02248,55742.66743,Huang Jie,4259464
ACL01-02-04,51018.33329,46943.77445,52774.73967,Huang Jie,4259464
ACL01-02-05,47168.70562,49403.93727,45913.58273,Huang Jie,4259464
ACL02-01-01,50476.41558,45496.43025,49638.17753,Huang Jie,4259464
ACL02-01-02,53150.05937,52057.49667,49754.56458,Huang Jie,4259464
ACL02-01-03,49662.66047,50697.19256,48369.47499,Huang Jie,4259464
ACL02-01-04,49971.07101,52082.43342,53320.6952,Huang Jie,4259464
ACL02-01-05,47194.52674,49532.14687,49404.41436,Huang Jie,4259464
ACL02-02-01,46480.73974,49913.59894,50947.42121,Huang Jie,4259464
ACL02-02-02,53402.18475,53813.53068,51987.58531,Huang Jie,4259464
ACL02-02-03,49902.30002,49842.7334,54440.14957,Huang Jie,4259464
ACL02-02-04,53845.84489,55673.04699,52763.81311,Huang Jie,4259464
ACL02-02-05,49608.95859,47697.18331,49913.57567,Huang Jie,4259464
ACL03-01-01,40691.85752,42352.72118,42181.74992,Huang Jie,4259464
ACL03-01-02,38122.40374,39574.9616,41281.18498,Huang Jie,4259464
ACL03-01-03,40713.49062,37300.69493,42331.437,Huang Jie,4259464
ACL03-01-04,40315.72075,41487.74618,43074.28968,Huang Jie,4259464
ACL03-01-05,43069.40478,42125.57365,41631.15268,Huang Jie,4259464
ACL03-02-01,44000.39945,42878.18725,43808.63195,Huang Jie,4259464
ACL03-02-02,39494.32883,40271.63881,42761.82348,Huang Jie,4259464
ACL03-02-03,42962.66735,41307.27636,42803.48171,Huang Jie,4259464
ACL03-02-04,43987.59943,41635.65492,41979.85895,Huang Jie,4259464
ACL03-02-05,40273.50063,39317.68863,40478.99905,Huang Jie,4259464
ACL05-01-01,35877.74288,35913.35019,34084.34446,Huang Jie,4259464
ACL05-01-02,35484.43334,34884.22901,35836.31738,Huang Jie,4259464
ACL05-01-03,35664.33172,39413.10692,37800.5378,Huang Jie,4259464
ACL05-01-04,41384.30918,35028.05463,38033.26534,Huang Jie,4259464
ACL05-01-05,41222.56354,40574.41734,39413.10692,Huang Jie,4259464
ACL05-02-01,34630.403,34359.64035,37681.01875,Huang Jie,4259464
ACL05-02-02,41961.58081,41554.739,39614.04075,Huang Jie,4259464
ACL05-02-03,42726.4155,42365.98018,41428.0807,Huang Jie,4259464
ACL05-02-04,44543.24682,39740.0012,40898.41871,Huang Jie,4259464
ACL05-02-05,33127.94945,34520.49291,37297.20572,Huang Jie,4259464
AFR01-01-01,30484.92216,30315.50815,32318.08208,Huang Jie,4259464
AFR01-01-02,34739.22812,34041.24332,29897.02912,Huang Jie,4259464
AFR01-01-03,37908.89575,38008.47986,38162.35931,Huang Jie,4259464
AFR01-01-04,38010.81877,38621.93802,38660.9897,Huang Jie,4259464
AFR01-01-05,33187.00525,30988.30019,33007.79341,Huang Jie,4259464
AFR01-02-01,33718.10113,34089.54592,35481.07042,Huang Jie,4259464
AFR01-02-02,34216.17298,32478.45462,33617.08574,Huang Jie,4259464
AFR01-02-03,35046.52156,36158.05156,35677.35283,Huang Jie,4259464
AFR01-02-04,36569.53712,36251.07276,36180.83559,Huang Jie,4259464
AFR01-02-05,38804.24514,37055.04168,34153.60418,Huang Jie,4259464
AFR02-01-01,,,,,4259464
AFR02-01-02,,,,,4259464
AFR02-01-03,,,,,4259464
AFR02-01-04,,,,,4259464
AFR02-01-05,,,,,4259464
AFR02-02-01,,,,,4259464
AFR02-02-02,,,,,4259464
AFR02-02-03,,,,,4259464
AFR02-02-04,,,,,4259464
AFR02-02-05,,,,,4259464
AFR03-01-01,38003.11937,37515.28366,38029.60376,Huang Jie,4259464
AFR03-01-02,37232.83,38009.01513,38192.53631,Huang Jie,4259464
AFR03-01-03,38339.91491,37966.06915,37387.33006,Huang Jie,4259464
AFR03-01-04,38457.36474,38419.66288,38813.49993,Huang Jie,4259464
AFR03-01-05,37730.29288,37122.59473,37153.93537,Huang Jie,4259464
AFR03-02-01,37980.6534,38427.38943,37938.0953,Huang Jie,4259464
AFR03-02-02,39186.64751,40298.75157,39083.88279,Huang Jie,4259464
AFR03-02-03,38427.49804,37544.31254,38419.96542,Huang Jie,4259464
