,indiv,hydrology,area,fresh_mass,dry_mass,thickness,ldmc,sla,dbh
afr01_l01,afr01,dry,16.275,0.350,0.101,0.186,287.1428571,161.9402985,7.8
afr01_l02,afr01,dry,16.365,0.380,0.103,0.219,270.5263158,159.192607,7.8
afr01_l03,afr01,dry,14.859,0.350,0.096,0.212,274.2857143,154.78125,7.8
afr01_l04,afr01,dry,12.530,0.330,0.106,0.242,320.6060606,118.4310019,7.8
afr01_l05,afr01,dry,23.180,0.530,0.149,0.200,281.6981132,155.2578701,7.8
bbr01_l01,bbr01,wet,65.574,2.180,0.810,0.321,371.5137615,80.9655513,9.5
bbr01_l02,bbr01,wet,68.255,2.340,0.842,0.342,359.6581197,81.10147338,9.5
bbr01_l03,bbr01,wet,111.816,3.470,1.106,0.329,318.7608069,101.0903173,9.5
bbr01_l04,bbr01,wet,115.520,3.850,1.349,0.350,350.4155844,85.62745534,9.5
bbr01_l05,bbr01,wet,77.201,2.630,0.911,0.323,346.2357414,84.78036459,9.5
gax01_l01,gax01,wet,25.680,0.910,0.227,0.348,249.3406593,113.1776113,8.4
gax01_l02,gax01,wet,40.677,1.390,0.327,0.382,234.9640288,124.5468463,8.4
gax01_l03,gax01,wet,39.442,1.470,0.436,0.404,296.5306122,90.48405598,8.4
gax01_l04,gax01,wet,26.588,0.990,0.269,0.379,271.2121212,99.02420857,8.4
gax01_l05,gax01,wet,41.645,1.380,0.280,0.451,202.826087,148.7852805,8.4
gax02_l01,gax02,wet,25.071,0.850,0.229,0.379,269.2941176,109.5281782,6.8
gax02_l02,gax02,wet,35.714,1.030,0.226,0.350,219.1262136,158.2365973,6.8
gax02_l03,gax02,wet,30.319,0.990,0.266,0.357,268.5858586,114.0240692,6.8
gax02_l04,gax02,wet,28.841,0.900,0.234,0.331,260.4444444,123.0418089,6.8
gax02_l05,gax02,wet,33.442,1.040,0.230,0.341,221.0576923,145.4632449,6.8
gax03_l01,gax03,wet,34.761,1.240,0.339,0.403,273.2258065,102.6003542,8.4
gax03_l02,gax03,wet,38.561,1.390,0.351,0.419,252.8057554,109.7353443,8.4
gax03_l03,gax03,wet,38.845,1.250,0.299,0.358,238.88,130.090422,8.4
gax03_l04,gax03,wet,32.266,1.120,0.300,0.437,267.7678571,107.5891964,8.4
gax03_l05,gax03,wet,30.189,1.000,0.267,0.377,267.4,112.8982797,8.4
gax04_l01,gax04,dry,89.651,3.140,1.026,0.341,326.8789809,87.34508963,12.8
gax04_l02,gax04,dry,117.452,3.630,1.067,0.340,294.0495868,110.0356005,12.8
gax04_l03,gax04,dry,81.348,2.760,0.904,0.388,327.5,89.99668105,12.8
gax04_l04,gax04,dry,68.209,2.360,0.676,0.312,286.3983051,100.9158159,12.8
gax04_l05,gax04,dry,94.618,2.890,0.828,0.345,286.5743945,114.2453514,12.8
gax05_l01,gax05,wet,64.569,2.380,0.713,0.459,299.5798319,90.55960729,8.6
gax05_l02,gax05,wet,28.788,0.950,0.245,0.384,257.6842105,117.5980392,8.6
gax05_l03,gax05,wet,41.628,1.440,0.400,0.362,277.8472222,104.043989,8.6
gax05_l04,gax05,wet,51.985,1.950,0.559,0.427,286.4102564,93.07967771,8.6
gax05_l05,gax05,wet,33.195,1.130,0.284,0.398,251.5044248,116.8015482,8.6
mba01_l01,mba01,dry,356.912,6.360,2.310,0.215,363.2075472,154.5073593,8.8
mba01_l02,mba01,dry,394.586,7.870,2.990,0.257,379.9237611,131.9685619,8.8
mba01_l03,mba01,dry,410.044,8.570,3.600,0.236,420.0700117,113.9011111,8.8
mba01_l04,mba01,dry,331.446,5.530,2.000,0.177,361.6636528,165.723,8.8
mba01_l05,mba01,dry,262.321,6.060,2.510,0.261,414.1914191,104.5103586,8.8
mgi01_l01,mgi01,dry,891.591,16.450,5.950,0.394,361.7021277,149.8472269,51.1
mgi01_l02,mgi01,dry,854.254,18.210,6.920,0.356,380.010983,123.4471098,51.1
mgi01_l03,mgi01,dry,1024.842,23.700,8.970,0.351,378.4810127,114.2521739,51.1
mgi01_l04,mgi01,dry,804.536,18.430,6.720,0.366,364.6228974,119.722619,51.1
mgi01_l05,mgi01,dry,840.481,18.510,6.620,0.317,357.6445165,126.9608761,51.1
