"","plot_type","plot","tree_no.","specimen_no.","species","DBH_2020","DBH_2018","DBH_2013","DBH_2012","x_coord","y_coord","dry_in_wet","fallen.snapped_2020","fallen.snapped_2018","dead_2020","dead_2018","mortality_2021"
"1","dry","Q1","1","Q1T01","Archidendron clypearia","9.7","9.6","7",NA,8,8,0,0,0,0,0,NA
"5","dry","Q1","5","Q1T05","Bhesa paniculata","27.3","26.9","24.2",NA,9,5,0,0,0,0,0,NA
"9","dry","Q1","7","Q1T07","Pternandra echinata","5.8","5.7","5.7",NA,9.5,2.5,0,0,0,0,0,NA
"10","dry","Q1","8","Q1T08","Bhesa paniculata","15.7","15.2","13.2",NA,5.5,3,0,0,0,0,0,NA
"11","dry","Q1","9","Q1T09","Timonius wallichianus","7","6.8","6.4",NA,4.5,1,0,0,0,0,0,NA
"12","dry","Q1","10","Q1T10","Xanthophyllum flavescens","7.7","7.2","5.3",NA,6,1.5,0,0,0,0,0,NA
"13","dry","Q1","11","Q1T11","Pternandra echinata","8.7","8.6","7.1",NA,9,0.5,0,0,0,0,0,NA
"14","dry","Q1","12","Q1T12","Bhesa paniculata","dendro","32.9","31.9",NA,10,0,0,0,0,0,0,NA
"15","dry","Q1","13","Q1T13","Archidendron clypearia","dead","dead","6.4",NA,NA,NA,0,0,0,1,1,NA
"16","dry","Q1","14","Q1T14","Timonius wallichianus","9.5","9.5","8",NA,7,-1.5,0,0,0,0,0,NA
"17","dry","Q1","15","Q1T15","Pternandra echinata","11.8","11.6","11.5",NA,5,-3.5,0,0,0,0,0,NA
"18","dry","Q1","16","Q1T16","Gironniera nervosa","10.2","10","7.1",NA,3.5,-3.5,0,0,0,0,0,NA
"19","dry","Q1","17","Q1T17","Pternandra echinata","8.4","8.4","7.7",NA,4.5,-5,0,0,0,0,0,NA
"23","dry","Q1","21","Q1T21","Bhesa paniculata","25.6","25.5","20.6",NA,8.5,-4.5,0,0,0,0,0,NA
"24","dry","Q1","22","Q1T22","Macaranga gigantea","dead","8.2","6.2",NA,8.5,-5.5,0,0,0,1,0,NA
"26","dry","Q1","24","Q1T24","Aporosa frutescens","dead","dead","12.6",NA,8,-7,0,0,0,1,1,NA
"27","dry","Q1","25","Q1T25","Aporosa frutescens","7.2","7","5.2",NA,8,-7.5,0,0,0,0,0,NA
"30","dry","Q1","29","Q1T29","Bhesa paniculata","9.5","9.1","6.2",NA,4.25,-7.5,0,0,0,0,0,NA
"32","dry","Q1","31","Q1T31","Timonius wallichianus","dead","dead","8.4",NA,NA,NA,0,0,0,1,1,NA
"34","dry","Q1","33","Q1T33","Prunus polystachya","dendro","43.4","40.6",NA,7,-9.5,0,0,0,0,0,NA
"35","dry","Q1","34","Q1T34","Pternandra echinata","12.9","12.6","10.1",NA,4.5,-9.5,0,0,0,0,0,NA
"36","dry","Q1","35","Q1T35","Pternandra echinata","13.6","13.1","12.7",NA,1,-9.5,0,0,0,0,0,NA
"37","dry","Q1","36","Q1T36","Xanthophyllum flavescens","16","15.9","15.4",NA,-1,-5.5,0,0,0,0,0,NA
"38","dry","Q1","37","Q1T37","Pternandra echinata","5.7","5.7","5.6",NA,-3.5,-4.5,0,0,0,0,0,NA
"41","dry","Q1","40","Q1T40","Timonius wallichianus","12","12","12",NA,-8,-9.5,0,0,0,0,0,NA
"42","dry","Q1","41","Q1T41","Xanthophyllum flavescens","28.4","27.2","21.9",NA,-7,-4.5,0,0,0,0,0,NA
"44","dry","Q1","43","Q1T43","Elaeocarpus mastersii","13.9","13.6","13.3",NA,-8,-1.5,0,0,0,0,0,NA
"46","dry","Q1","45","Q1T45","Macaranga gigantea","dead","dead","34.1",NA,NA,NA,0,0,0,1,1,NA
"47","dry","Q1","46","Q1T46","Pternandra echinata","15","14.8","14.4",NA,-1.5,0,0,0,0,0,0,NA
"50","dry","Q1","49","Q1T49","Prunus polystachya","13.7","12.7","10.9",NA,-1,5,0,0,0,0,0,NA
"53","dry","Q1","52","Q1T52","Timonius wallichianus","6.7","6.7","5.3",NA,-6,3.5,0,0,0,0,0,NA
"54","dry","Q1","53","Q1T53","Xanthophyllum flavescens","10","10","9.2",NA,-6,5.5,0,0,0,0,0,NA
"56","dry","Q1","55","Q1T55","Macaranga gigantea","dead","26.1","25.5",NA,-9,3,0,0,0,1,0,NA
"59","dry","Q1","58","Q1T58","Bhesa paniculata","dendro","43","43",NA,0.5,8,0,0,0,0,0,NA
"60","dry","Q1","59a","Q1T59a","Bhesa paniculata","10.8","10.4","10",NA,1,8.5,0,0,0,0,0,NA
"61","dry","Q1","59b","Q1T59b","Bhesa paniculata","5.9","5.9","5.9",NA,1,8.5,0,0,0,0,0,NA
"63","dry","Q1","62","Q1T62","Prunus polystachya","dead","dead","21.1",NA,2.5,8.25,0,0,0,1,1,NA
"64","dry","Q1","63","Q1T63","Timonius wallichianus","7","7","6.8",NA,3.5,7,0,0,0,0,0,NA
"65","dry","Q2","1","Q2T01","Rhodamnia cinerea","13.2","13.4","13","6.8",-2.5,0.5,0,0,0,0,0,NA
"67","dry","Q2","5","Q2T05","Aporosa frutescens","7.9","7.8","7.7","7.7",-6,-1.5,0,0,0,0,0,NA
"68","dry","Q2","6","Q2T06","Aporosa frutescens","8.5","8.1","7.7","7.8",-4,-5,0,0,0,0,0,NA
"70","dry","Q2","8","Q2T08","Timonius wallichianus","15.7","15.4","15.4","15.6",4.5,-1,0,0,0,0,0,NA
"71","dry","Q2","9","Q2T09","Aporosa frutescens","9","9","8.9","8.8",6.5,-2,0,0,0,0,0,NA
"72","dry","Q2","10","Q2T10","Timonius wallichianus","14.2","13.2","12.7","12.8",9,-3,0,0,0,0,0,NA
"73","dry","Q2","11","Q2T11","Timonius wallichianus","7.7","7.1","6.7","6.6",6.5,-3,0,0,0,0,0,NA
"76","dry","Q2","14","Q2T14","Garcinia parvifolia","dead","dead","10.2","9.8",NA,NA,0,0,0,1,1,NA
"78","dry","Q2","16","Q2T16","Gynotroches axillaris","dead","7.6","6.6","6.5",-4,-6,0,0,0,1,0,NA
"79","dry","Q2","17","Q2T17","Timonius wallichianus","12.8","12.7","12.3","12",5.5,-5,0,0,0,0,0,NA
"80","dry","Q2","18","Q2T18","Aporosa frutescens","6.7","6.4","5.7","5.4",-3.5,7,0,0,0,0,0,NA
"81","dry","Q2","19","Q2T19","Gironniera nervosa","23.2","22.1","21.8","22.2",5,1.5,0,0,0,0,0,NA
"83","dry","Q2","21","Q2T21","Timonius wallichianus","dead","dead","5.3","5.4",NA,NA,0,0,0,1,1,NA
"85","dry","Q2","23","Q2T23","Timonius wallichianus","11.8","11.5","9.6","9.4",-1,-9,0,0,0,0,0,NA
"86","dry","Q2","24","Q2T24","Timonius wallichianus","7","7","7","6.9",6.5,-10,0,0,0,0,0,NA
"87","dry","Q2","25","Q2T25","Timonius wallichianus","7.1","6.9","6.8","7",6.5,-4,0,0,0,0,0,NA
"88","dry","Q2","26","Q2T26","Timonius wallichianus","7.1","6.9","6.4","6.5",9,-7.5,0,0,0,0,0,NA
"89","dry","Q2","27","Q2T27","Timonius wallichianus","10.6","10.6","10.1",NA,10,-8,0,0,0,0,0,NA
"90","dry","Q2","28","Q2T28","Bhesa paniculata","16.4","15.4","12.1",NA,10,-7.5,0,0,0,0,0,NA
"91","dry","Q2","29","Q2T29","Bhesa paniculata","29.4","26.7","22.4",NA,9,6,0,0,0,0,0,NA
"92","dry","Q2","30","Q2T30","Timonius wallichianus","24.9","missed","22.6",NA,10,9,0,0,0,0,0,NA
"93","dry","Q2","31","Q2T31","Timonius wallichianus","5.4","5.4","5.4",NA,8.5,9,0,0,0,0,0,NA
"94","dry","Q2","32","Q2T32","Gironniera nervosa","dead","dead","7",NA,NA,NA,0,0,0,1,1,NA
"95","dry","Q2","33","Q2T33","Gironniera nervosa","14.5","12","10.3",NA,-2,7,0,0,0,0,0,NA
