Sp,Species,Family
AAN,Alstonia angustifolia,Apocynaceae
AFR,Aporosa frutescens,Phyllanthaceae
ASY,Aporosa symplocoides,Phyllanthaceae
ACL,Archidendron clypearia,Fabaceae
BBR,Baccaurea bracteata,Phyllanthaceae
BPA,Bhesa paniculata,Centroplacaceae
CSQ,Campnosperma squamatum,Anacardiaceae
EMA,Elaeocarpus mastersii,Elaeocarpaceae
GPA,Garcinia parvifolia,Clusiaceae
GNE,Gironniera nervosa,Cannabaceae
GAX,Gynotroches axillaris,Rhizophoraceae
HCR,Horsfieldia crassifolia,Myristicaceae
KMA,Knema malayana,Myristicaceae
LMU,Lophopetalum multinervium,Celastraceae
MBA,Macaranga bancana,Euphorbiaceae
MGI,Macaranga gigantea,Euphorbiaceae
MRE,Macaranga recurvata,Euphorbiaceae
MBE,Mussaendopsis beccariana,Rubiaceae
PAX,Pellacalyx axillaris,Rhizophoraceae
PPI,Pometia pinnata,Sapindaceae
PPO,Prunus polystachya,Rosaceae
PCO,Pternandra coerulescens,Melastomataceae
PEC,Pternandra echinata,Melastomataceae
RCI,Rhodamnia cinerea,Myrtaceae
SCE,Strombosia ceylanica,Olacaceae
SPA,Syzygium pachyphyllum,Myrtaceae
TFL,Timonius flavescens,Rubiaceae
TWA,Timonius wallichianus,Rubiaceae
XFL,Xanthophyllum flavescens,Polygalaceae
