Leaf,SD1,SD2,SD3,SD4,SD5,GCL1,GCL2,GCL3,GCL4,GCL5,GCL6,GCL7,GCL8,GCL9,GCL10,Data collected by
AAN03-01-01,0.00065508,,,,,11.61300000,11.05700000,10.57500000,7.66100000,9.54400000,,,,,,Hong Jhun
AAN03-01-02,0.00080785,,,,,10.00600000,10.35600000,11.43900000,10.18900000,10.18900000,,,,,,Hong Jhun
AAN03-01-03,0.00047901,,,,,12.51600000,14.97900000,12.77700000,12.35600000,10.97700000,,,,,,Hong Jhun
AAN03-01-04,0.00072499,,,,,10.66100000,11.51700000,9.55100000,13.18500000,9.06300000,,,,,,Hong Jhun
AAN03-01-05,0.00070428,,,,,8.96000000,12.55700000,12.09200000,11.46000000,11.47000000,,,,,,Hong Jhun
AAN03-02-01,,,,,,,,,,,,,,,,
AAN03-02-02,,,,,,,,,,,,,,,,
AAN03-02-03,,,,,,,,,,,,,,,,
AAN03-02-04,,,,,,,,,,,,,,,,
AAN03-02-05,,,,,,,,,,,,,,,,
AAN01-01-01,0.00057223,,,,,12.78200000,13.18500000,13.23700000,11.76500000,11.37500000,,,,,,Hong Jhun
AAN01-01-02,0.00046866,,,,,19.14700000,11.76500000,9.94000000,13.41400000,11.24200000,,,,,,Hong Jhun
AAN01-01-03,0.00049973,,,,,12.63800000,15.25000000,13.01300000,11.78000000,14.54700000,,,,,,Hong Jhun
AAN01-01-04,0.00028482,,,,,9.44600000,12.99500000,11.54100000,12.60300000,12.38000000,,,,,,Hong Jhun
AAN01-01-05,0.00037544,,,,,12.88300000,13.09400000,13.71600000,10.73900000,13.36500000,,,,,,Hong Jhun
AAN01-02-01,,,,,,,,,,,,,,,,
AAN01-02-02,,,,,,,,,,,,,,,,
AAN01-02-03,,,,,,,,,,,,,,,,
AAN01-02-04,,,,,,,,,,,,,,,,
AAN01-02-05,,,,,,,,,,,,,,,,
AAN02-01-01,0.00054115,,,,,14.44200000,12.82400000,12.90400000,14.79900000,14.44800000,,,,,,Hong Jhun
AAN02-01-02,0.00043241,,,,,12.96600000,12.59200000,18.13000000,12.87500000,15.34000000,,,,,,Hong Jhun
AAN02-01-03,0.00047901,,,,,12.35600000,16.34200000,11.02200000,15.54600000,14.03700000,,,,,,Hong Jhun
AAN02-01-04,0.00052044,,,,,15.25500000,13.65400000,15.82000000,14.62700000,15.80400000,,,,,,Hong Jhun
AAN02-01-05,0.00056446,,,,,13.01800000,12.46400000,15.96400000,13.78700000,14.47900000,,,,,,Hong Jhun
AAN02-02-01,,,,,,,,,,,,,,,,
AAN02-02-02,,,,,,,,,,,,,,,,
AAN02-02-03,,,,,,,,,,,,,,,,
AAN02-02-04,,,,,,,,,,,,,,,,
AAN02-02-05,,,,,,,,,,,,,,,,
ACL01-01-01,0.00040392,,,,,16.02900000,16.10100000,17.80200000,17.06900000,14.81200000,,,,,,Hong Jhun
ACL01-01-02,0.00028223,,,,,17.54800000,15.97100000,15.94900000,16.44800000,16.08900000,,,,,,Hong Jhun
ACL01-01-03,0.00033142,,,,,14.20400000,15.38900000,16.72800000,18.05800000,15.44200000,,,,,,Hong Jhun
ACL01-01-04,0.00037544,,,,,10.95700000,15.37300000,16.81800000,17.25600000,14.19000000,,,,,,Hong Jhun
ACL01-01-05,0.00050490,,,,,16.36200000,14.01100000,13.76200000,16.60100000,16.87700000,,,,,,Hong Jhun
ACL01-02-01,,,,,,,,,,,,,,,,
ACL01-02-02,,,,,,,,,,,,,,,,
ACL01-02-03,,,,,,,,,,,,,,,,
ACL01-02-04,,,,,,,,,,,,,,,,
ACL01-02-05,,,,,,,,,,,,,,,,
ACL02-01-01,0.00035473,,,,,17.68600000,18.49500000,18.09000000,16.21900000,16.47100000,,,,,,Hong Jhun
ACL02-01-02,0.00050232,,,,,18.97000000,16.36900000,15.06600000,17.46900000,15.57600000,,,,,,Hong Jhun
ACL02-01-03,0.00050749,,,,,13.98000000,14.54900000,12.44100000,13.65400000,16.71700000,,,,,,Hong Jhun
ACL02-01-04,0.00046607,,,,,14.93600000,16.68500000,18.40100000,16.81400000,16.22200000,,,,,,Hong Jhun
ACL02-01-05,0.00039098,,,,,16.96700000,17.01800000,16.70000000,16.47400000,16.78400000,,,,,,Hong Jhun
ACL02-02-01,,,,,,,,,,,,,,,,
ACL02-02-02,,,,,,,,,,,,,,,,
ACL02-02-03,,,,,,,,,,,,,,,,
ACL02-02-04,,,,,,,,,,,,,,,,
ACL02-02-05,,,,,,,,,,,,,,,,
ACL03-01-01,0.00026410,,,,,16.55900000,15.57100000,15.19000000,15.73800000,15.18000000,,,,,,Hong Jhun
ACL03-01-02,0.00023821,,,,,16.89200000,15.70100000,16.44700000,16.20800000,15.35600000,,,,,,Hong Jhun
ACL03-01-03,0.00031848,,,,,14.62200000,13.47800000,12.73600000,15.93200000,16.16100000,,,,,,Hong Jhun
ACL03-01-04,0.00035473,,,,,12.53500000,15.00900000,12.78400000,12.84500000,16.23500000,,,,,,Hong Jhun
ACL03-01-05,0.00027446,,,,,15.17300000,14.64000000,14.66600000,16.93000000,14.93000000,,,,,,Hong Jhun
ACL03-02-01,,,,,,,,,,,,,,,,
ACL03-02-02,,,,,,,,,,,,,,,,
ACL03-02-03,,,,,,,,,,,,,,,,
ACL03-02-04,,,,,,,,,,,,,,,,
ACL03-02-05,,,,,,,,,,,,,,,,
ACL04-01-01,,,,,,,,,,,,,,,,
ACL04-01-02,,,,,,,,,,,,,,,,
ACL04-01-03,,,,,,,,,,,,,,,,
ACL04-01-04,,,,,,,,,,,,,,,,
ACL04-01-05,,,,,,,,,,,,,,,,
