"","K","r1","p1"
"All other spp",0.967620687597433,15.734046062392,0.0226850049719952
"Alstonia angustifolia",0.950793781912242,23.4149655109022,0.0228561763335381
"Aporosa falcifera",0.977271171099168,18.4894728128205,0.0261680021826755
"Aporosa frutescens",0.982570819408427,15.7544640083028,0.0230340200917151
"Aporosa lucida",0.979906609873729,20.1415962532794,0.0246720152905114
"Aporosa symplocoides",0.985857523842495,11.2059647683404,0.0321386505206418
"Archidendron clypearia",0.93889869022273,14.2394883683971,0.0294159446103789
"Artocarpus elasticus",0.966741113241221,18.5918486211043,0.0260668792839522
"Baccaurea bracteata",0.980612164847902,24.5703543515735,0.0229484982706919
"Bhesa paniculata",0.982291514087585,13.4686167514486,0.0253008163546831
"Calophyllum pulcherrimum",0.97406008970088,25.1904460531733,0.0229938342425239
"Calophyllum rufigemmatum",0.968016851915051,18.2526030689944,0.0261468098457983
"Calophyllum teysmannii",0.973398705218961,17.9231618072899,0.0247206356818471
"Campnosperma squamatum",0.98265474889207,11.3455564381702,0.0505172999150663
"Carallia brachiata",0.980621534561711,19.6552025085367,0.0250994932710923
"Diospyros lanceifolia",0.964832111485755,18.6228035650646,0.026298098743129
"Diplospora malaccensis",0.976108534640377,24.913943981679,0.0225188949763941
"Elaeocarpus mastersii",0.946635476769021,17.5977976551186,0.0252119075872674
"Elaeocarpus stipularis",0.964298943065678,19.2697171048979,0.0244203645167406
"Garcinia parvifolia",0.966911919210344,25.9670500975009,0.0232293737124417
"Gironniera nervosa",0.987793675446969,19.8415087604654,0.0254550336836622
"Gluta wallichii",0.978110578967216,18.6868490043611,0.0256546677239567
"Gymnacranthera forbesii",0.958694612366163,17.4999137707272,0.0255925358403246
"Gynotroches axillaris",0.980501983301861,15.2986452530541,0.0273216790958716
"Horsfieldia crassifolia",0.979346776919713,18.2139973357304,0.0260166620781213
"Horsfieldia polyspherula",0.968680858963522,19.7496980907727,0.0252147022717652
"Knema malayana",0.983152810949214,18.7063297308484,0.0256004926287748
"Lithocarpus ewyckii",0.963812587806802,18.5968460710449,0.0259948888205981
"Litsea elliptica",0.952378541758329,19.5441989505248,0.0254012165252649
"Lophopetalum multinervium",0.975331668193274,27.2449814299307,0.0207154963721175
"Macaranga bancana",0.937763491790706,18.0690690027565,0.0214457543154592
"Macaranga gigantea",0.935457040515384,15.3015984175726,0.027959132479513
"Macaranga recurvata",0.979989874290531,18.3615676550216,0.0258821189493719
"Madhuca sp.",0.970293545248719,18.4043895185673,0.0262701975176902
"Mussaendopsis beccariana",0.965681172107561,18.4634087580147,0.0265129879890753
"Osmelia philippina",0.950524516123699,19.9871430367144,0.0250108758691956
"Palaquium xanthochymum",0.964929949621299,18.8281466808004,0.0260669205790391
"Pellacalyx axillaris",0.963925161095654,18.2301526364796,0.026241073741146
"Pentace triptera",0.954080354648855,18.2664121834929,0.0259125679598414
"Pometia pinnata",0.98228542807222,13.9716474010303,0.0231759157980261
"Prunus polystachya",0.976076349619211,14.1969981992759,0.0220335793998887
"Pternandra coerulescens",0.982174354561242,19.6943475093324,0.025390560128672
"Pternandra echinata",0.964893601239135,17.747487272538,0.0262754636521798
"Rhodamnia cinerea",0.917316662480821,27.8975983972247,0.0202118104776094
"Sandoricum beccarianum",0.969718995544249,18.5634166209641,0.0262085055337985
"Strombosia ceylanica",0.987676967965814,23.7486120044786,0.0212365196817174
"Symplocos fasciculata",0.978003597033824,19.3089919267959,0.0254091462156605
"Syzygium lineatum",0.980717818908545,20.7452384525729,0.0244782120923858
"Syzygium pachyphyllum",0.955963272544976,19.6784014041116,0.0248876389100409
"Timonius flavescens",0.977916745267948,18.5250551065861,0.0264516506973024
"Timonius wallichianus",0.973594921259549,17.5988222752642,0.0305337614015311
"Xanthophyllum flavescens",0.98348609737819,17.2377738665327,0.0233387031646812
"Xylopia malayana",0.97790245571436,20.1907693824593,0.0246421976467278
