"","K","r1","p1"
"All other spp",0.966232175833789,15.4585165710391,0.0194410516550537
"Alstonia angustifolia",0.950850411054731,24.1371946800457,0.019444421250474
"Aporosa falcifera",0.975373061461788,19.7761588141683,0.0201435531091896
"Aporosa frutescens",0.981255901492055,17.8006274538071,0.0190367527745348
"Aporosa lucida",0.978042924211192,21.3602680578018,0.0197717103080129
"Aporosa symplocoides",0.98423707993552,11.7842293931386,0.0218105367885894
"Archidendron clypearia",0.93955622993197,14.5692969892673,0.0212588859700729
"Artocarpus elasticus",0.965814941594609,19.7309600279214,0.0200798587613255
"Baccaurea bracteata",0.979124414329842,25.5426404481095,0.019395856706879
"Bhesa paniculata",0.981869933314529,14.960166957685,0.0194604311482634
"Calophyllum pulcherrimum",0.972258812237515,25.6552287763499,0.019246672704545
"Calophyllum rufigemmatum",0.966309056099955,18.6879549384516,0.0202282966464889
"Calophyllum teysmannii",0.971972815985513,18.6649897880656,0.0199758219442619
"Campnosperma squamatum",0.978855154959485,23.3930365653794,0.0193311229508088
"Carallia brachiata",0.978858595777245,20.5048707709952,0.0197862697292557
"Diospyros lanceifolia",0.963801933739301,19.9343409801472,0.0201632711045366
"Diplospora malaccensis",0.975313110714682,25.6445782322964,0.0192104056177961
"Elaeocarpus mastersii",0.94595211640554,18.3942290815425,0.020011785013439
"Elaeocarpus stipularis",0.964336643103427,18.9136566137215,0.0199945112294326
"Garcinia parvifolia",0.96656029084158,26.1893963307601,0.0193732737707508
"Gironniera nervosa",0.987046408288847,20.1071071006875,0.0204702160802933
"Gluta wallichii",0.97548039687366,19.8458645638198,0.0203175848994903
"Gymnacranthera forbesii",0.957633870350512,18.9760373737106,0.0203375349354653
"Gynotroches axillaris",0.979233458403451,15.9506533501265,0.0205855303660824
"Horsfieldia crassifolia",0.977131795565126,19.749659263287,0.0201497169221548
"Horsfieldia polyspherula",0.967601048086973,21.0230415175364,0.0201523346158915
"Knema malayana",0.982286910504479,19.798171157889,0.0201199466525691
"Lithocarpus ewyckii",0.960697852893655,19.8406875957387,0.0201721145379769
"Litsea elliptica",0.952313686001371,20.3367879460434,0.0200746369921906
"Lophopetalum multinervium",0.971439925897923,27.6910165355257,0.0187266923515265
"Macaranga bancana",0.936613831248493,20.4893026850944,0.0188899985998531
"Macaranga gigantea",0.936357731301736,16.6405582447742,0.0206112459483147
"Macaranga recurvata",0.978234275128891,19.5596283389403,0.0203078890550869
"Madhuca sp.",0.967101371636665,19.9619887698593,0.0201449494403755
"Mussaendopsis beccariana",0.963295599151438,19.8703773688638,0.0201215890218968
"Osmelia philippina",0.949556045079919,21.3764448228255,0.0200831074576228
"Palaquium xanthochymum",0.963343575987405,19.4788958972306,0.0201373546452241
"Pellacalyx axillaris",0.962810169256379,19.4447626456584,0.0201077950964411
"Pentace triptera",0.952645407951966,18.7626028497563,0.0202340791544618
"Pometia pinnata",0.980816651832825,15.2373052925774,0.0193942318207872
"Prunus polystachya",0.975056128686736,14.0194908935999,0.0192804333790219
"Pternandra coerulescens",0.980626495335453,20.5711317804516,0.0199541929677172
"Pternandra echinata",0.965850431510092,19.1253274705006,0.020145864377101
"Rhodamnia cinerea",0.913497477612293,28.7551020587803,0.0186290822070587
"Sandoricum beccarianum",0.967179771648815,19.5063163789227,0.0200485655394948
"Strombosia ceylanica",0.986028490364356,24.1496455416916,0.0188243380419993
"Symplocos fasciculata",0.976945634217555,20.6135399980388,0.0200828613541064
"Syzygium lineatum",0.979570133845128,21.8299549122454,0.0198743080486219
"Syzygium pachyphyllum",0.954889461499087,21.0882881607495,0.0197520477171942
"Timonius flavescens",0.976444241531365,19.6431083576186,0.0203139493071287
"Timonius wallichianus",0.973159695519597,20.7893142793237,0.0202652628317732
"Xanthophyllum flavescens",0.982208846027779,17.1837204501038,0.0196428784139273
"Xylopia malayana",0.976502447546145,21.1251057521138,0.019942967121811
