Species,Individual,Twig,Major diameter,Minor diameter,Area,,,,,,,,
MRE,MRE01,MRE01-01-01,85.826,100.13,7741.55,,,,,,,,
MRE,MRE01,MRE01-01-01,92.628,106.874,8608.141,,,,,,,,
MRE,MRE01,MRE01-01-01,69.424,48.625,3110.1,,,,,,,,
MRE,MRE01,MRE01-01-01,68.662,51.668,4615.201,,,,,,,,
MRE,MRE01,MRE01-01-01,81.981,59.889,3593.345,,,,,,,,
MRE,MRE01,MRE01-01-01,55.552,47.347,2932.569,,,,,,,,
MRE,MRE01,MRE01-01-01,43.753,47.802,3103.48,,,,,,,,
MRE,MRE01,MRE01-01-01,60.38,54.772,2007.603,,,,,,,,
MRE,MRE01,MRE01-01-01,39.874,63.004,2722.541,,,,,,,,
MRE,MRE01,MRE01-01-01,73.505,56.098,4555.021,,,,,,,,
MRE,MRE01,MRE01-01-01,47.942,18.723,1029.679,,,,,,,,
MRE,MRE01,MRE01-01-01,77.541,95.882,2047.322,,,,,,,,
MRE,MRE01,MRE01-01-01,63.669,95.367,6872.551,,,,,,,,
MRE,MRE01,MRE01-01-01,37.651,43.651,4422.625,,,,,,,,
MRE,MRE01,MRE01-01-01,64.834,81.3,2542.603,,,,,,,,
MRE,MRE01,MRE01-01-01,65.303,39.495,6741.359,,,,,,,,
MRE,MRE01,MRE01-01-01,36.686,46.322,5944.576,,,,,,,,
MRE,MRE01,MRE01-01-01,74.319,100.085,5287.411,,,,,,,,
MRE,MRE01,MRE01-01-01,77.576,81.477,6426.016,,,,,,,,
MRE,MRE01,MRE01-01-01,65.131,69.486,4004.976,,,,,,,,
MRE,MRE01,MRE01-01-01,49.917,56.36,2435.483,,,,,,,,
MRE,MRE01,MRE01-01-01,44.908,72.175,3574.088,,,,,,,,
MRE,MRE01,MRE01-01-01,36.962,64.777,2310.309,,,,,,,,
MRE,MRE01,MRE01-01-01,64.834,65.695,2987.333,,,,,,,,
MRE,MRE01,MRE01-01-01,53.636,50.471,5482.394,,,,,,,,
MRE,MRE01,MRE01-01-01,73.504,71.691,3963.452,,,,,,,,
MRE,MRE01,MRE01-01-01,39.593,50.654,836.501,,,,,,,,
MRE,MRE01,MRE01-01-01,29.624,27.851,1809.01,,,,,,,,
MRE,MRE01,MRE01-01-01,83.173,73.271,5135.758,,,,,,,,
MRE,MRE01,MRE01-01-01,37.48,55.663,1657.356,,,,,,,,
MRE,MRE01,MRE01-01-01,45.37,57.896,2212.817,,,,,,,,
