Species,Twig,Weight,Volume,Density,Data collection by
AFR,AFR01-01,1.126,1.8999,0.592662772,Huang Jie
AFR,AFR01-02,1.156,1.9921,0.580292154,Huang Jie
BBR,BBR01-01,1.001,1.6049,0.623714873,Huang Jie
BBR,BBR01-02,0.846,1.4672,0.576608506,Huang Jie
GAX,GAX01-01,0.731,1.1693,0.625160352,Huang Jie
GAX,GAX01-02(c),0.695,1.1365,0.611526617,Huang Jie
GAX,GAX01-02,1.205,1.8498,0.651421775,Huang Jie
GAX,GAX02-02,0.393,0.4972,0.790426388,Huang Jie
GAX,GAX03-01,1.13,1.8424,0.613330439,Huang Jie
GAX,GAX03-02,1.312,2.1026,0.623989347,Huang Jie
GAX,GAX04-01,0.812,1.3581,0.597894117,Huang Jie
GAX,GAX04-02(c),1.035,2.0281,0.510329865,Huang Jie
GAX,GAX04-02,1.072,2.0285,0.528469312,Huang Jie
GAX,GAX05-01,1.248,2.0409,0.611494929,Huang Jie
GAX,GAX05-02,1.12,1.7739,0.631377191,Huang Jie
MBA,MBA01-01,1.26,2.6184,0.481209899,Huang Jie
MBA,MBA01-02,2.4,5.2718,0.455252475,Huang Jie
MBA,MBA02-01,2.645,5.7192,0.46247727,Huang Jie
MBA,MBA02-02,1.255,2.8164,0.445604318,Huang Jie
MGI,MGI01-01,1.134,3.2326,0.350801213,Huang Jie
MGI,MGI02-02,1.267,4.0869,0.310014926,Huang Jie
MRE,MRE01-01,0.97,2.2144,0.438041908,Huang Jie
MRE,MRE01-02,1.55,3.0952,0.500775394,Huang Jie
MRE,MRE02-01,2.149,5.4259,0.396063326,Huang Jie
MRE,MRE02-02,1.987,4.4647,0.4450467,Huang Jie
MRE,MRE03-01,1.318,3.218,0.409571162,Huang Jie
MRE,MRE03-02,1.684,4.0358,0.417265474,Huang Jie
PAX,PAX01,0.633,1.4662,0.431728277,Huang Jie
PAX,PAX02-01,0.665,1.2982,0.512247728,Huang Jie
PAX,PAX02-02,0.497,1.2095,0.410913601,Huang Jie
PAX,PAX03-01,0.907,1.6933,0.535640465,Huang Jie
PAX,PAX03-02,1.633,3.0649,0.532806943,Huang Jie
PAX,PAX04-01,0.864,1.6186,0.533794637,Huang Jie
PAX,PAX04-02,1.024,2.0403,0.501886977,Huang Jie
PCO,PCO01-01,0.959,1.9777,0.48490671,Huang Jie
PCO,PCO01-02,1.056,2.035,0.518918919,Huang Jie
PCO,PCO02-01,0.899,1.796,0.500556793,Huang Jie
PCO,PCO02-02,0.879,1.6339,0.53797662,Huang Jie
PCO,PCO03-01,1.752,3.7244,0.470411341,Huang Jie
PCO,PCO03-02,1.414,2.8378,0.49827331,Huang Jie
PEC,PEC01-01,0.493,1.019,0.483807655,Huang Jie
PEC,PEC01-02,1.098,2.4223,0.453288197,Huang Jie
PEC,PEC02-01,1.286,2.8046,0.458532411,Huang Jie
PEC,PEC03-01,1.653,3.0812,0.536479294,Huang Jie
PEC,PEC03-02,1.48,2.6819,0.551847571,Huang Jie
PEC,PEC04-01,1.084,2.1589,0.502107555,Huang Jie
PEC,PEC04-02,0.94,1.8923,0.496749987,Huang Jie
RCI,RCI01-01,0.859,1.1106,0.77345579,Huang Jie
RCI,RCI01-02,0.817,1.0636,0.76814592,Huang Jie
TFL,TFL01-01,1.237,2.0044,0.617142287,Huang Jie
TFL,TFL01-02,1.14,1.7122,0.665810069,Huang Jie
TFL,TFL02-01,3.878,5.244,0.739511823,Huang Jie
TFL,TFL02-02,1.56,2.1467,0.72669679,Huang Jie
TWA,TWA01-01,0.683,1.3589,0.502612407,Huang Jie
TWA,TWA01-02,0.819,1.3615,0.601542416,Huang Jie
TWA,TWA02-01,0.554,0.8555,0.647574518,Huang Jie
TWA,TWA02-02,1.003,1.5809,0.634448732,Huang Jie
TWA,TWA03-01,1.228,2.0564,0.597160086,Huang Jie
TWA,TWA03-02,1.084,1.8592,0.583046472,Huang Jie
GAX,GAX01-01,2.1392,4.3124,0.49605788,Hong Jhun
MGI,MGI01-02,1.2701,4.6151,0.275205304,Hong Jhun
MGI,MGI02-01,3.9395,11.3558,0.346915233,Hong Jhun
PEC,PEC02-02,3.2117,6.503,0.493879748,Hong Jhun
TFL,TFL03-01,26.02,19.5647,1.329946281,Hong Jhun
TFL,TFL03-02,2.93,1.9355,1.513820718,Hong Jhun
BBR,BBR02-01,22.8,13.9393,1.635663197,Hong Jhun
BBR,BBR02-02,2.55,1.4515,1.756803307,Hong Jhun
PAX,PAX05-01,21.3,11.6155,1.833756618,Hong Jhun
GNE,GNE01-01,16.05,10.3259,1.554343931,Hong Jhun
PEC,PEC05-01,30.62,14.2824,2.143897384,Hong Jhun
PPO,PPO04-01,18.16,8.7799,2.068360687,Hong Jhun
EMA,EMA04-01,26,14.9704,1.736760541,Hong Jhun
EMA,EMA05-01,35.29,24.1952,1.458553763,Hong Jhun
KMA,KMA01-01,24.47,12.5044,1.956911167,Hong Jhun
PPI,PPI01-01,20.64,11.118,1.856449002,Hong Jhun
BPA,BPA03-01,19.11,11.66,1.638936535,Hong Jhun
CSQ,CSQ01-01,16.26,8.773,1.853413884,Hong Jhun
GNE,GNE02-01,22.05,11.9521,1.844864082,Hong Jhun
BPA,BPA04-01,30.56,19.7018,1.551127308,Hong Jhun
CSQ,CSQ02-01,18.75,9.0764,2.065797012,Hong Jhun
PPO,PPO05-01,12.97,6.9342,1.870439272,Hong Jhun
HCR,HCR01-01,16.41,8.3243,1.971336929,Hong Jhun
KMA,KMA02-01,12.41,6.4585,1.9214988,Hong Jhun
KMA,KMA02-02,3.12,1.6408,1.901511458,Hong Jhun
ASY,ASY06-01,13.01,8.3863,1.551339685,Hong Jhun
AAN,AAN01-01,18.85,11.1582,1.689340575,Hong Jhun
SPA,SPA01-01,19.01,10.0224,1.896751277,Hong Jhun
SPA,SPA01-02,1.36,0.726,1.873278237,Hong Jhun
AAN,AAN02-01,19.41,13.9253,1.393865841,Hong Jhun
RCI,RCI02-02,0.98,0.8015,1.222707424,Hong Jhun
RCI,RCI03-02,1.54,1.1836,1.301115242,Hong Jhun
RCI,RCI04-02,1.27,1.0771,1.179092006,Hong Jhun
RCI,RCI05-02,1.17,0.8903,1.314163765,Hong Jhun
EMA,EMA01-02,2.42,1.3409,1.804757998,Hong Jhun
EMA,EMA02-02,2.88,1.7455,1.649957032,Hong Jhun
PPO,PPO02-01,1.69,0.9442,1.789875026,Hong Jhun
PPO,PPO02-02,1.89,1.0974,1.722252597,Hong Jhun
ASY,ASY01-02,1.01,0.6097,1.656552403,Hong Jhun
MGI,MGI03-02,3.18,1.142,2.784588441,Hong Jhun
HCR,HCR02-01,1.86,0.8366,2.223284724,Hong Jhun
HCR,HCR02-02,1.95,0.9205,2.118413905,Hong Jhun
BPA,BPA01-01,1.7,0.8818,1.927874802,Hong Jhun
BPA,BPA01-02,2.04,1.0613,1.922170922,Hong Jhun
BPA,BPA02-01,0.9,0.3821,2.355404344,Hong Jhun
BPA,BPA02-02,2.17,1.1129,1.949860724,Hong Jhun
MRE,MRE04-01,1.38,0.6041,2.284390002,Hong Jhun
MRE,MRE04-02,1.36,0.669,2.032884903,Hong Jhun
AFR,AFR02-01,1.72,1.0873,1.58190012,Hong Jhun
AFR,AFR02-02,1.43,0.9263,1.543776314,Hong Jhun
CSQ,CSQ03-01,1.45,0.8193,1.769803491,Hong Jhun
CSQ,CSQ03-02,2.22,1.1097,2.000540687,Hong Jhun
XFL,XFL01-01,0.99,0.6392,1.548811014,Hong Jhun
XFL,XFL01-02,2.1,1.3186,1.59259821,Hong Jhun
SCE,SCE01-01,1,0.6925,1.444043321,Hong Jhun
SCE,SCE01-02,1.66,1.2134,1.3680567,Hong Jhun
AFR,AFR03-01,3.15,2.2204,1.418663304,Hong Jhun
AFR,AFR03-02,1.91,1.4292,1.336411979,Hong Jhun
GPA,GPA02-01,1.62,1.0575,1.531914894,Hong Jhun
GPA,GPA02-02,1.92,1.2567,1.527810933,Hong Jhun
HCR,HCR03-01,1.78,0.7493,2.375550514,Hong Jhun
HCR,HCR03-02,1.79,0.7181,2.492689041,Hong Jhun
XFL,XFL02-01,1.86,1.2574,1.479242882,Hong Jhun
XFL,XFL02-02,1.86,1.2647,1.470704515,Hong Jhun
MBE,MBE01-01,1.16,0.7647,1.516934746,Hong Jhun
MBE,MBE01-02,1.15,0.7834,1.467960174,Hong Jhun
AFR,AFR04-01,2.79,1.7966,1.552933318,Hong Jhun
AFR,AFR04-02,1.49,0.9685,1.538461538,Hong Jhun
PAX,PAX06-01,2.12,1.1794,1.797524165,Hong Jhun
PAX,PAX06-02,2.1,1.0218,2.055196712,Hong Jhun
ACL,ACL01-01,1.37,0.7348,1.864452912,Hong Jhun
ACL,ACL01-02,2.97,1.2503,2.375429897,Hong Jhun
CSQ,CSQ04-01,1.04,0.5275,1.971563981,Hong Jhun
GNE,GNE03-02,1.94,0.9101,2.131633886,Hong Jhun
ASY,ASY02-01,2.56,1.6376,1.563263312,Hong Jhun
ASY,ASY02-02,1.42,0.8989,1.579708533,Hong Jhun
ASY,ASY03-01,1.85,1.197,1.545530493,Hong Jhun
ASY,ASY03-02,2,1.2624,1.584283904,Hong Jhun
ACL,ACL02-01,1.78,0.9086,1.959057891,Hong Jhun
ACL,ACL02-02,2.3,0.9432,2.438507209,Hong Jhun
ASY,ASY04-01,2.01,1.2171,1.651466601,Hong Jhun
ASY,ASY04-02,2.11,1.2788,1.64998436,Hong Jhun
ASY,ASY05-01,2.41,1.3952,1.727350917,Hong Jhun
ASY,ASY05-02,1.38,0.9113,1.514320202,Hong Jhun
PPO,PPO03-01,1.22,0.5561,2.193850027,Hong Jhun
PPO,PPO03-02,2.92,1.2742,2.291633966,Hong Jhun
TWA,TWA06-01,2.32,1.6908,1.372131535,Hong Jhun
TWA,TWA06-02,1.9,1.3044,1.456608402,Hong Jhun
BBR,BBR03-01,3.47,2.1808,1.591159208,Hong Jhun
BBR,BBR03-02,2.2,1.2315,1.786439302,Hong Jhun
MBE,MBE02-01,1.48,1.1216,1.319543509,Hong Jhun
MBE,MBE02-02,1.85,1.3442,1.376283291,Hong Jhun
MRE,MRE05-01,2.13,1.1788,1.806922294,Hong Jhun
MRE,MRE05-02,1.92,0.8622,2.226861517,Hong Jhun
MBE,MBE03-01,1.43,0.9989,1.431574732,Hong Jhun
MBE,MBE03-02,1.48,0.9021,1.64061634,Hong Jhun
HCR,HCR04-01,1.35,0.604,2.235099338,Hong Jhun
HCR,HCR04-02,2.01,1.0863,1.850317592,Hong Jhun
PCO,PCO04-01,2.3,1.1598,1.983100535,Hong Jhun
PCO,PCO04-02,3.06,1.6645,1.838389907,Hong Jhun
MBE,MBE04-02,1.27,0.8862,1.433085082,Hong Jhun
PPI,PPI02-02,2,1.1116,1.799208348,Hong Jhun
BBR,BBR04-01,2.59,1.4981,1.728856552,Hong Jhun
BBR,BBR04-02,1.54,0.9319,1.652537826,Hong Jhun
HCR,HCR05-01,3.49,1.5996,2.181795449,Hong Jhun
HCR,HCR05-02,1.08,0.5035,2.144985104,Hong Jhun
MBE,MBE05-01,1.44,1.0896,1.321585903,Hong Jhun
MBE,MBE05-02,1.64,1.2903,1.271022243,Hong Jhun
TWA,TWA07-01,3.15,1.9813,1.58986524,Hong Jhun
TWA,TWA07-02,2.5,1.5567,1.605961328,Hong Jhun
TFL,TFL04-01,1.87,1.35,1.385185185,Hong Jhun
TFL,TFL04-02,2.27,1.5363,1.477575994,Hong Jhun
TFL,TFL05-01,1.35,0.9764,1.38263007,Hong Jhun
TFL,TFL05-02,1.77,1.3096,1.351557728,Hong Jhun
PEC,PEC05-02,4.58,2.1132,2.167329169,Hong Jhun
PCO,PCO05-01,1.87,1.0974,1.704027702,Hong Jhun
PCO,PCO05-02,3.16,1.8936,1.668779045,Hong Jhun
AFR,AFR05-01,1.36,0.847,1.60566706,Hong Jhun
AFR,AFR05-02,1.62,1.0046,1.612582122,Hong Jhun
MBA,MBA05-01,2.2,1.0573,2.080771777,Hong Jhun
MBA,MBA05-02,5.28,2.4162,2.185249565,Hong Jhun
MBA,MBA03-01,3.29,1.4761,2.228846284,Hong Jhun
MBA,MBA03-02,2.63,1.2011,2.189659479,Hong Jhun
